time,X,Y,Z,ROLL,PITCH,YAW
1.944,0.5273438,-1.575684,-1.001709,-0.2836641,0.2252672,0.007328244
1.967,0.4858398,-1.62793,-1.184082,-0.2266412,0.2454198,0.3691603
1.989,0.4853516,-1.636475,-1.235107,0.3481679,0.119542,0.7351145
2.012,0.5405273,-1.580322,-1.135742,0.9026717,0.09137404,1.082595
2.034,0.5554199,-1.50708,-1.057617,0.311374,0.2759542,1.42458
2.055,0.6296387,-1.480957,-1.167725,-0.06816793,0.4732061,1.795802
2.076,0.6818848,-1.53125,-1.669922,0.2476336,0.4706107,2.181603
2.098,0.7175293,-1.460693,-2.0,1.471756,-0.0119084,2.501298
2.119,0.7866211,-1.177734,-2.0,2.501298,-0.6861069,2.501298
2.141,0.885498,-0.7814941,-2.0,2.501298,-1.009695,2.501298
2.162,0.8083496,-0.5,-2.0,1.483588,-1.115649,2.501298
2.183,0.6831055,-0.5170898,-2.0,0.9228245,-1.445191,2.501298
2.205,0.7202148,-0.5827637,-2.0,1.43,-2.007252,2.501298
2.226,0.8896484,-0.467041,-1.415039,1.615267,-2.285801,2.501298
2.247,0.909668,-0.111084,-0.9841309,1.171221,-2.232748,2.501298
2.269,0.7258301,0.3837891,-0.8771973,0.9748092,-2.24458,2.501298
2.29,0.513916,0.7915039,-0.6420898,0.5061832,-2.360382,2.501298
2.311,0.3356934,0.8085938,-0.05175781,0.2577863,-2.207252,1.926641
2.333,0.2038574,0.6691895,0.302002,0.2964122,-1.744733,1.372901
2.354,-0.07983398,0.6066895,0.4572754,0.2118321,-1.145038,0.9417557
2.376,-0.3427734,0.5861816,0.3271484,0.2233588,-0.598855,0.4809924
2.397,-0.6074219,0.3283691,0.3251953,0.08763359,-0.2587786,-0.0378626
2.418,-0.720459,-0.246582,0.2106934,-0.4254199,0.140229,-0.2899237
2.44,-0.822998,-0.7426758,-0.04882813,-0.5617557,0.3187023,-0.08877862
2.461,-0.9147949,-0.8330078,-0.3762207,-0.191145,0.2346565,0.1981679
2.482,-1.018066,-0.8461914,-0.5786133,-0.3405344,-0.05145039,0.4219847
2.504,-0.9348145,-0.9069824,-0.3586426,-0.2893893,-0.359313,0.6917557
2.525,-0.8688965,-0.685791,-0.04980469,-0.02290076,-0.4580153,0.9032825
2.546,-0.7998047,-0.4035645,0.06079102,0.1677099,-0.4064885,0.9091603
2.568,-0.7006836,-0.1865234,0.140625,0.2798473,-0.3061832,0.8163359
