time,X,Y,Z,ROLL,PITCH,YAW
0.001,-0.3640137,-0.2016602,-0.9626465,0.1272519,0.07061069,-0.04908397
0.038,-0.3713379,-0.05957031,-0.6901855,0.05587787,-0.3374046,-0.4538931
0.05900001,-0.4020996,-0.08569336,-0.6811523,-0.1587786,-0.2933588,-0.4516794
0.081,-0.4116211,-0.1291504,-0.5705566,-0.2659542,-0.2382443,-0.4296947
0.102,-0.4384766,0.1228027,-0.2734375,-0.05664122,-0.06648855,-0.4909924
0.124,-0.4396973,0.1384277,-0.699707,-0.04045802,0.03908397,-0.6999236
0.145,-0.4758301,-0.2927246,-0.8010254,-0.2245801,-0.00610687,-0.7260305
0.167,-0.5097656,-0.4987793,-0.8474121,0.01480916,-0.1240458,-0.6510687
0.188,-0.5263672,-0.534668,-0.8435059,0.3921374,-0.239771,-0.5356489
0.209,-0.5375977,-0.4858398,-0.7089844,0.2776336,-0.3067175,-0.4100763
0.231,-0.5080566,-0.5075684,-0.4453125,-0.03526717,-0.2503817,-0.4081679
0.252,-0.4284668,-0.8659668,-0.3200684,0.09519083,-0.04374046,-0.4331297
0.273,-0.3771973,-1.340332,-0.5432129,0.1038931,0.1020611,-0.2970992
0.295,-0.3164063,-1.645752,-0.6293945,-0.3357252,0.06206107,0.09335878
0.316,-0.2402344,-1.591553,-0.4641113,-0.3416794,0.09458015,0.3793893
0.337,-0.2143555,-1.748535,-0.6088867,0.06664122,0.1505343,0.5865649
0.359,-0.2451172,-1.850342,-0.6882324,0.4963359,0.1567175,0.8814504
0.38,-0.2939453,-1.736084,-0.8413086,0.720687,0.1536641,1.215114
0.402,-0.2888184,-1.684326,-0.9470215,0.5741221,0.08083969,1.57771
0.423,-0.2814941,-1.519531,-0.9331055,0.6091603,0.01328244,1.992977
0.445,-0.1672363,-1.055664,-1.033936,1.004427,-0.04129771,2.316031
0.466,-0.1035156,-0.2880859,-1.228516,1.210687,-0.1080153,2.467633
0.487,-0.05151367,0.2756348,-1.141357,0.7677863,-0.1718321,2.480687
0.509,0.04931641,0.6135254,-0.9355469,0.161603,-0.1854962,2.501298
0.53,0.0234375,1.337158,-0.8266602,0.2775573,-0.2022137,2.348321
0.551,-0.09277344,1.802002,-0.7414551,0.7143511,-0.2051908,1.836336
0.573,-0.2575684,1.759277,-0.8596191,0.4738931,-0.2071756,1.320382
0.594,-0.3327637,1.386719,-0.7138672,-0.07671756,-0.2739695,1.04626
0.615,-0.3532715,1.261719,-0.5168457,-0.1106107,-0.3132061,0.8644275
0.637,-0.3242188,1.181885,-0.3457031,0.169313,-0.3052672,0.6765649
