time,X,Y,Z,ROLL,PITCH,YAW
0.651,0.3481445,-1.73877,1.458252,0.4879389,1.946183,1.82313
0.674,0.4853516,-1.541016,1.289063,0.4414504,2.501298,2.294809
0.696,0.479248,-1.170654,0.6901855,0.7856489,2.501298,2.501298
0.72,0.5458984,-0.8886719,-0.05883789,0.9931298,2.501298,2.501298
0.741,0.6401367,-0.4094238,-0.6203613,0.9603053,2.501298,2.501298
0.763,0.6352539,0.1105957,-1.062012,1.201908,2.501298,2.501298
0.784,0.7834473,0.326416,-1.589355,1.575801,2.501298,2.501298
0.805,0.8530273,0.7788086,-2.0,1.356489,2.501298,2.501298
0.827,0.7978516,1.496338,-2.0,0.7099237,2.134428,2.447252
0.848,0.7070313,1.991699,-2.0,0.6106107,1.564733,1.722595
0.8690001,0.6933594,1.945557,-2.0,0.81,0.8457252,0.9243511
0.891,0.6835938,1.999939,-2.0,0.6712214,-0.04450381,0.1834351
0.912,0.7102051,1.999939,-1.914795,0.3848855,-0.6398473,-0.7754198
0.934,0.767334,1.999939,-1.595703,0.09503817,-0.9022902,-1.877176
0.955,0.923584,1.854736,-1.713867,-0.2035878,-1.129847,-2.501374
0.976,1.022705,1.324463,-1.993164,-0.2051908,-1.625115,-2.501374
0.998,1.192627,0.9821777,-2.0,-0.02541985,-2.377786,-2.501374
1.024,1.757324,0.8098145,-1.894043,-0.0438168,-2.501374,-2.501374
1.046,1.999939,0.5131836,-1.311768,-0.2426718,-2.501374,-2.501374
1.067,1.999939,-0.6655273,-0.5915527,-0.5369465,-2.501374,-2.501374
1.088,1.999939,-2.0,0.03125,-0.8425191,-2.501374,-2.501374
1.11,1.440186,-2.0,0.7687988,-0.9882442,-2.501374,-2.501374
1.131,0.6037598,-2.0,1.27832,-0.6999236,-2.486031,-2.297405
1.153,0.5090332,-2.0,1.488281,-0.7390077,-1.778397,-1.345114
1.174,0.5324707,-2.0,1.236816,-1.151603,-1.203893,-1.212519
1.195,0.5454102,-2.0,1.18042,-1.307252,-0.9011451,-0.9549619
1.217,0.4355469,-2.0,1.675781,-1.05916,-0.4983206,-0.1408397
1.238,0.4960938,-2.0,1.999939,-0.9288549,0.2864886,0.8820611
1.259,0.7617188,-2.0,1.812012,-1.094046,1.239695,1.653664
1.281,0.8127441,-2.0,1.116455,-1.156641,1.808702,2.048244
