time,X,Y,Z,ROLL,PITCH,YAW
0.659,-0.2336426,1.000732,-0.4492188,-0.5164122,0.3036641,-0.1448092
0.682,-0.05200195,1.05957,-0.2229004,-0.5284733,0.4916794,-0.3740458
0.704,0.01171875,0.8684082,-0.3737793,-0.3519084,0.6861832,-0.5609923
0.728,-0.05908203,0.8469238,-0.4421387,-0.2969465,0.7100763,-0.6060305
0.75,-0.05102539,0.9570313,-0.435791,-0.6646564,0.7440458,-0.738626
0.771,0.03857422,0.9997559,-0.5593262,-0.8268702,0.7770229,-0.9047328
0.792,0.1018066,0.9091797,-0.482666,-0.8774809,0.8290076,-1.107328
0.814,0.1340332,0.5551758,-0.5056152,-0.5829771,1.037939,-1.158397
0.8349999,-0.1552734,0.3703613,-0.8442383,-0.7893129,1.130916,-1.052595
0.856,-0.1538086,0.5388184,-0.8469238,-0.6874046,1.305954,-1.040076
0.8780001,0.2319336,0.6591797,-1.110596,-0.3473282,1.524275,-1.236718
0.899,0.2856445,0.3337402,-1.869629,-0.168855,1.358092,-1.470382
0.921,0.1535645,-0.1420898,-2.0,-0.4973282,0.7715267,-1.431985
0.942,0.03222656,-0.3835449,-1.461182,-0.5003054,0.5145039,-1.185038
0.963,0.1164551,-0.3483887,-1.010498,-0.5532825,0.8082443,-0.8841221
0.985,0.1923828,-0.3266602,-1.488037,-0.1777863,1.041374,-0.6301527
1.006,0.05493164,-0.4130859,-2.0,-0.111374,0.7091603,-0.3582443
1.027,-0.05322266,-0.3261719,-1.793457,-0.2451908,0.2279389,-0.08183206
1.049,-0.1286621,-0.0144043,-1.174561,-0.379771,0.1019847,0.05030534
1.07,-0.07104492,0.1271973,-0.9523926,-0.2145038,0.3769466,-0.000610687
1.091,-0.07641602,-0.1464844,-1.478516,0.2531298,0.450916,0.0129771
1.113,-0.05981445,-0.3703613,-1.681396,0.3926718,0.1518321,0.2212977
1.134,0.02172852,-0.2868652,-1.276611,0.1180916,-0.01671756,0.4267176
1.156,0.1091309,-0.1699219,-1.252686,0.08099236,0.01618321,0.5562595
1.177,0.1577148,-0.2807617,-1.505127,0.2656488,-0.0953435,0.7148092
1.198,0.1894531,-0.3459473,-1.46582,0.2716794,-0.2496947,1.009084
1.22,0.2145996,-0.1625977,-1.376465,0.3565649,-0.2519084,1.30145
1.241,0.2270508,0.1166992,-1.476563,0.3825191,-0.2090076,1.410382
1.262,0.3010254,0.3366699,-1.799561,0.5000763,-0.3470229,1.304122
1.284,0.3261719,0.229248,-1.976318,0.5247328,-0.7874046,1.126336
