time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.5505371,0.2709961,-1.0896,-0.2275573,-0.1171756,0.06244275
0.023,-0.4660645,0.3596191,-0.8078613,-0.1406107,-0.2446565,0.02801527
0.045,-0.5700684,0.293457,-0.6855469,0.3370992,-0.1363359,-0.07885497
0.07,-0.534668,0.2294922,-0.8288574,0.3272519,-0.06213741,-0.02122137
0.09099999,-0.5217285,0.2375488,-0.8991699,0.04229008,-0.04396947,0.05610687
0.113,-0.5244141,0.2851563,-0.8757324,-0.03648855,-0.08244275,0.08664123
0.134,-0.5583496,0.3525391,-0.8686523,0.1179389,-0.129313,0.04
0.156,-0.7011719,0.3994141,-0.9128418,0.360458,-0.1799237,-0.05603054
0.177,-1.038574,0.4316406,-0.9516602,0.4035878,-0.1332061,-0.09229008
0.198,-1.561035,0.3779297,-1.193604,-0.3201527,0.1403053,0.1470992
0.22,-1.867188,0.5849609,-1.715332,-0.9670229,0.2456489,0.4882442
0.241,-2.0,1.208252,-2.0,-0.09717558,0.04061069,0.229313
0.262,-1.853271,1.368164,-2.0,2.212137,-0.3870992,-0.5125191
0.284,-1.440918,1.137939,-2.0,2.501298,-1.386031,-1.189084
0.305,-0.8535156,0.6750488,-2.0,1.98626,-2.501374,-1.434733
0.327,-0.3774414,0.1132813,-2.0,1.46542,-2.501374,-1.331221
0.348,-0.06665039,-0.4731445,-0.574707,0.8783969,-2.501374,-0.8858015
0.369,-0.1330566,-0.6713867,0.6008301,1.052672,-2.501374,-0.2819848
0.391,-0.2148438,-0.5217285,0.3320313,1.22,-2.501374,0.2750382
0.412,0.03442383,-0.2980957,-0.2155762,0.7105343,-2.14084,0.6989313
0.433,0.1560059,-0.07519531,-0.1286621,0.1583969,-2.030992,0.8692367
0.455,0.3586426,0.1242676,0.2719727,0.1748855,-1.78771,0.7625191
0.476,0.2475586,0.1530762,0.5432129,0.7029771,-1.305344,0.4882442
0.497,0.2163086,-0.02246094,0.3510742,1.315114,-0.8096183,0.3472519
0.519,0.2338867,-0.04980469,0.1916504,1.608779,-0.5082443,0.3475573
0.54,0.2407227,-0.1621094,0.1943359,1.437405,-0.1657252,0.5110687
0.562,0.3444824,-0.1782227,0.2751465,0.8619083,0.2765649,0.879542
0.583,0.465332,0.175293,0.3884277,0.3090076,0.7893893,1.266183
0.605,0.5473633,1.007813,0.3134766,0.3054198,1.342901,1.244656
0.626,0.5239258,1.778076,-0.185791,0.3350382,1.675115,0.5942748
