time,X,Y,Z,ROLL,PITCH,YAW
0.649,0.7878418,-1.259277,-0.6887207,1.359008,-1.820611,0.2644275
0.672,0.8601074,-1.234863,-0.2087402,1.679847,-1.68145,0.688168
0.694,0.7084961,-1.093506,0.3476563,1.85626,-1.131756,1.030229
0.715,0.6660156,-1.109131,0.6315918,1.351069,-0.3377099,1.365267
0.737,0.7209473,-0.9082031,0.4526367,1.385115,0.3433588,1.698626
0.758,0.6516113,-0.7937012,0.1235352,1.297252,0.6832824,1.884886
0.779,0.5637207,-0.769043,-0.123291,1.35084,0.6866412,2.15374
0.801,0.411377,-0.4423828,0.0546875,0.8858778,0.5879389,2.467863
0.822,0.3149414,0.2568359,0.3571777,-0.1961832,0.6024427,2.501298
0.843,0.1635742,0.6791992,0.331543,-0.2542748,0.6305344,2.099542
0.865,-0.015625,0.5695801,0.447998,0.4771756,0.7051145,1.512672
0.886,-0.223877,0.2714844,0.6765137,0.6435115,0.8954199,1.260458
0.908,-0.2644043,0.6550293,0.6630859,0.2657252,1.127176,1.09458
0.929,-0.2644043,0.824707,0.5280762,0.4681679,1.307557,0.4924428
0.95,-0.4545898,0.1411133,0.7009277,0.8548092,1.585191,0.03656489
0.972,-0.5344238,-0.3967285,0.7016602,0.8836641,2.027405,0.2462595
0.9929999,-0.2924805,0.01538086,0.3427734,0.340687,2.257481,0.5467939
1.014,-0.2875977,0.3464355,0.203125,0.3656489,2.462672,0.2639694
1.036,-0.5021973,-0.1933594,-0.1577148,0.370229,2.501298,0.07251909
1.057,-0.6013184,-0.3303223,-0.6772461,0.5883206,2.501298,0.3468702
1.078,-0.7314453,0.08422852,-1.034668,0.1028244,2.429847,0.3998473
1.1,-1.006104,0.3034668,-1.47876,-0.2654198,2.264427,0.1479389
1.121,-1.042236,-0.09326172,-2.0,-0.06503817,2.082366,-0.1205343
1.142,-0.9714355,-0.07275391,-2.0,0.910229,1.579084,-0.1877863
1.164,-0.9626465,0.1865234,-2.0,0.5148091,0.8477098,-0.5422901
1.185,-0.8049316,-0.1647949,-2.0,0.278626,-0.07152672,-0.9629007
1.207,-0.6328125,-0.7641602,-2.0,0.6668702,-0.9527481,-1.078626
1.228,-0.5317383,-1.017822,-2.0,0.9761068,-1.411832,-0.9171756
1.249,-0.3566895,-0.8913574,-1.708984,1.111679,-1.529466,-0.7876336
1.271,-0.2641602,-0.9716797,-1.452881,1.016641,-1.566718,-0.7092366
