time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.5939941,0.06640625,-1.093262,0.2170992,-0.1287786,-0.01816794
0.023,-0.5776367,-0.04541016,-0.9936523,0.05122138,-0.3214504,-0.0238168
0.045,-0.630127,-0.1066895,-0.6494141,-0.1703817,-0.2660305,0.07580153
0.069,-0.5974121,-0.01074219,-0.6237793,-0.04839694,-0.08374046,0.09770992
0.09,-0.5864258,0.08422852,-0.6989746,0.100229,0.04267176,0.03183206
0.112,-0.5786133,0.06884766,-0.8037109,0.06877863,0.07603054,-0.0159542
0.133,-0.5671387,0.02563477,-0.8830566,0.03251908,0.02137404,-0.04030534
0.155,-0.5961914,-0.0002441406,-0.8461914,0.05320611,-0.03580153,-0.03221374
0.176,-0.6083984,0.01904297,-0.8322754,-0.004656488,-0.0508397,-0.02198473
0.197,-0.6374512,0.1047363,-0.8046875,-0.01374046,-0.03748092,-0.06541985
0.219,-0.715332,0.223877,-0.7407227,-0.03091603,0.03801527,-0.1312214
0.24,-0.8271484,0.5090332,-0.8305664,-0.01076336,0.1427481,-0.269771
0.262,-0.9272461,0.8989258,-1.131836,-0.1849618,0.1392366,-0.5607634
0.283,-1.021729,1.140625,-1.38208,-0.2578626,-0.02580153,-1.030992
0.304,-1.229736,0.9047852,-1.561279,-0.2267176,-0.3012214,-1.439771
0.326,-1.344238,0.7229004,-1.727783,-0.3123664,-0.6461069,-1.630458
0.347,-1.374756,0.6135254,-1.922607,-0.8919085,-1.069847,-1.779924
0.368,-1.223633,0.4782715,-2.0,-1.018931,-1.492061,-1.989389
0.39,-0.9431152,0.2797852,-2.0,-1.110992,-1.92,-2.167481
0.411,-0.6767578,-0.05371094,-2.0,-1.075649,-2.257023,-2.293435
0.433,-0.4562988,-0.390625,-1.942139,-1.08687,-2.501374,-2.278626
0.454,-0.2470703,-0.6228027,-1.855469,-1.163435,-2.501374,-2.121221
0.475,0.1044922,-0.6750488,-1.673096,-1.282748,-2.501374,-2.008779
0.497,0.3642578,-0.9111328,-1.292236,-1.193664,-2.501374,-1.96084
0.518,0.3647461,-1.290527,-0.855957,-1.107786,-2.501374,-1.746794
0.54,0.3657227,-1.548584,-0.5373535,-0.8464123,-2.501374,-1.381298
0.561,0.2749023,-1.460693,-0.03271484,-0.4043511,-2.43916,-0.9746565
0.582,0.1887207,-1.265625,0.2253418,-0.1674046,-1.736031,-0.6664123
0.604,0.1330566,-1.217529,0.06176758,0.08816793,-1.145496,-0.4265649
0.625,0.004638672,-1.300049,-0.05834961,0.2168702,-0.8293894,-0.09007633
