time,X,Y,Z,ROLL,PITCH,YAW
7.791,0.3681641,-0.2700195,0.2512207,0.02068702,0.6510687,0.4512214
7.814,0.2758789,0.05102539,0.3083496,0.1340458,1.079237,0.2873282
7.836,0.2148438,-0.0559082,0.1896973,0.3387023,1.518244,-0.05290077
7.859,0.07080078,-0.3869629,-0.1220703,0.4338168,1.915496,-0.1780153
7.88,-0.09667969,-0.8586426,-0.6447754,0.4060306,2.118626,0.03648855
7.902,-0.2978516,-1.092041,-1.006348,0.3200763,2.12374,0.7690076
7.923,-0.432373,-0.4355469,-1.188477,0.3232061,2.200687,1.319084
7.945,-0.6452637,0.1347656,-1.656006,0.3089313,2.290305,1.517786
7.966,-0.4897461,0.4343262,-2.0,-0.09038168,2.105496,1.785573
7.988,-0.4577637,1.521973,-2.0,-0.1031298,1.709924,1.758855
8.009,-0.8344727,1.999939,-2.0,0.09221375,1.336565,0.9872519
8.03,-0.9604492,1.999939,-2.0,0.1470992,0.8861069,0.1160305
8.052,-0.9611816,1.700928,-2.0,0.02152672,0.4539695,-0.3876336
8.073,-0.9631348,1.498535,-2.0,0.08473283,0.02068702,-0.8045038
8.095,-0.8989258,1.329834,-2.0,0.2512214,-0.5657252,-1.242137
8.116,-0.7814941,1.064453,-2.0,0.3196947,-1.049847,-1.537557
8.137,-0.5627441,0.8325195,-1.752441,0.2012977,-1.285725,-1.669389
8.159,-0.4165039,0.782959,-1.611084,0.2367176,-1.408702,-1.786412
8.18,-0.2805176,0.6999512,-1.493652,0.2245038,-1.576565,-1.924046
8.201,-0.04907227,0.4162598,-1.345215,0.08587787,-1.679618,-1.961069
8.223,0.1862793,0.3051758,-1.173584,0.02687023,-1.758092,-1.99229
8.244,0.286377,0.267334,-0.9899902,0.2540458,-1.836489,-2.148626
8.265,0.4128418,0.07446289,-0.8193359,0.5200763,-1.933969,-2.358626
8.287,0.5395508,-0.4855957,-0.4353027,0.2167176,-1.885802,-2.312443
8.308,0.442627,-0.9260254,-0.03759766,-0.09854961,-1.54084,-2.039924
8.329,0.317627,-1.125,-0.02075195,-0.2929008,-1.086183,-1.611298
8.351,0.2741699,-1.079346,-0.2004395,-0.09328245,-0.7770229,-1.262824
8.372,0.269043,-1.225586,-0.4008789,-0.5859542,-0.59,-1.041145
8.394,0.3344727,-1.822021,-0.3686523,-0.9742748,-0.4067176,-0.5986259
8.415,0.1225586,-2.0,-0.4294434,-0.6037405,-0.1719084,-0.03725191
