time,X,Y,Z,ROLL,PITCH,YAW
0.65,-1.154053,-0.2597656,-2.0,0.7964122,-0.7338932,-1.907252
0.672,-0.8881836,-0.3093262,-2.0,0.2782443,-2.121985,-0.909313
0.694,-0.5541992,0.4958496,-1.766602,0.6527481,-2.501374,-0.8770992
0.717,0.2158203,0.2458496,-1.950195,0.2316794,-2.501374,-1.130687
0.739,0.7883301,-0.4155273,-0.8740234,-0.5111451,-2.501374,-1.01084
0.76,1.085449,-0.8188477,0.2668457,-0.3053435,-2.501374,-0.7919847
0.782,0.550293,-0.8916016,1.397949,0.911145,-2.501374,-0.180229
0.803,0.4157715,-0.2775879,1.246582,1.015649,-1.628779,0.260687
0.824,0.3974609,-0.2856445,0.9836426,0.4333588,-0.6547328,0.6415267
0.846,0.3903809,-0.07373047,1.055908,0.2752672,0.2393893,0.7474046
0.867,0.2509766,-0.1171875,0.5805664,0.3775573,0.989313,0.8274046
0.889,0.2268066,-0.03881836,-0.07177734,0.2174046,1.260687,1.05145
0.91,0.2419434,0.6081543,-0.2385254,0.1273283,1.250153,1.071374
0.9309999,0.1965332,1.729004,-0.2788086,0.08549618,1.167328,0.4242748
0.953,0.0847168,1.999939,-0.2583008,0.2328244,1.019313,-0.8443512
0.974,0.2189941,1.999939,-0.322998,0.1708397,0.8316794,-2.397023
0.995,0.6328125,1.999939,-0.3049316,0.1922901,0.6569466,-2.501374
1.017,1.123047,1.537109,-0.3139648,0.1916794,0.540458,-2.501374
1.038,1.443604,0.6582031,-0.0234375,-0.07450381,0.5750382,-2.501374
1.059,1.600342,-0.2541504,-0.1286621,-0.2991603,0.8441984,-2.501374
1.081,1.398682,-1.226318,-0.4899902,-0.2143512,0.8431297,-2.501374
1.102,0.7556152,-2.0,-0.7910156,-0.1221374,0.6187787,-2.501374
1.124,0.1955566,-2.0,-0.9943848,-0.2122137,0.1492366,-2.501374
1.145,-0.05810547,-2.0,-0.7739258,-0.5861069,-0.3267176,-2.501374
1.166,-0.1149902,-2.0,-0.3356934,-0.8488549,-0.4981679,-1.784733
1.188,0.04956055,-2.0,-0.2060547,-0.8930534,-0.4812214,-1.309924
1.209,0.02880859,-2.0,-0.1606445,-0.7648855,-0.4371756,-0.7849618
1.231,0.07250977,-2.0,-0.1865234,-0.560916,-0.4239695,-0.3106107
1.252,0.07519531,-2.0,-0.1618652,-0.3223664,-0.4338932,0.08725191
1.273,0.1865234,-1.82959,-0.1149902,-0.1125191,-0.4123664,0.4199237
