time,X,Y,Z,ROLL,PITCH,YAW
0.001,-0.5808105,-0.409668,-1.052002,0.1051908,0.1766412,0.1656488
0.024,-0.5710449,-0.2370605,-0.9785156,-0.03053435,-0.1229771,0.02916031
0.046,-0.5883789,-0.2919922,-0.3110352,-0.3945802,-0.06496184,-0.06763358
0.073,-0.5800781,-0.3974609,-0.2109375,-0.5062595,0.3472519,-0.109771
0.094,-0.463623,-0.4492188,-0.6516113,-0.2216794,0.5774809,-0.1025191
0.115,-0.4975586,-0.4550781,-1.057373,-0.1536641,0.5151908,-0.04603053
0.137,-0.4465332,-0.3439941,-1.342041,0.04526718,0.1965649,-0.02320611
0.158,-0.5166016,-0.2692871,-1.151855,-0.05458015,-0.1248855,-0.08534351
0.18,-0.6206055,-0.244873,-0.8295898,-0.1498473,-0.2205343,-0.1607634
0.201,-0.9111328,-0.01953125,-0.767334,-0.5645802,-0.1269466,-0.1983206
0.222,-1.094238,0.4626465,-0.9794922,-1.193893,-0.04358778,-0.4384733
0.244,-1.408447,0.7038574,-1.39917,-1.25626,0.05274809,-0.879084
0.265,-1.768555,0.7329102,-2.0,-0.8441221,-0.218855,-1.442137
0.286,-1.589111,0.4912109,-2.0,-1.517786,-0.8835114,-1.812137
0.308,-1.375488,0.2243652,-2.0,-1.66626,-1.444809,-1.950916
0.329,-1.077148,0.03710938,-2.0,-1.559542,-1.840687,-2.053969
0.351,-0.5844727,-0.1147461,-2.0,-1.747863,-2.055878,-2.123359
0.372,-0.2175293,-0.3183594,-1.809326,-1.942061,-2.13603,-2.218321
0.393,0.2145996,-0.3027344,-1.600098,-1.239084,-2.230534,-2.437023
0.415,0.3684082,-0.4533691,-1.21582,-0.7142748,-2.089695,-2.501374
0.436,0.5097656,-0.5380859,-0.9567871,-0.2109924,-1.948626,-2.501374
0.457,0.5769043,-0.7333984,-0.7927246,0.01083969,-1.831069,-2.501374
0.479,0.5834961,-0.9987793,-0.6694336,-0.2281679,-1.780229,-2.430382
0.5,0.6022949,-1.231689,-0.4987793,0.1148092,-1.582443,-2.019237
0.522,0.5739746,-1.227783,-0.2307129,0.4766412,-1.359084,-1.491221
0.543,0.5036621,-1.202148,0.03100586,0.589771,-0.9503817,-1.078779
0.565,0.4523926,-1.156982,0.08178711,0.4233588,-0.3637404,-0.8259542
0.586,0.472168,-1.161865,-0.06616211,0.6331298,0.1471756,-0.6183969
0.607,0.4467773,-1.442871,-0.1923828,1.037023,0.5349618,-0.4254962
0.629,0.4299316,-1.781738,-0.3039551,1.143817,0.8374809,0.003740458
