time,X,Y,Z,ROLL,PITCH,YAW
0.66,0.3479004,0.7006836,0.170166,0.6854962,2.051603,0.54
0.682,0.2001953,0.916748,-0.2143555,0.7276336,2.233664,-0.1108397
0.704,0.01855469,0.6896973,-0.1870117,0.598855,2.501298,-0.8954962
0.727,-0.1867676,0.1540527,-1.494141,0.1167939,2.501298,-1.38458
0.749,-0.5734863,-1.033691,-2.0,0.4642748,2.501298,-1.538244
0.77,-0.9536133,-2.0,-2.0,0.520916,0.8679389,-0.8970229
0.791,-0.9433594,-2.0,-2.0,0.2861832,-0.6871756,0.190687
0.813,-0.748291,-1.123779,-2.0,0.1600763,-1.230229,0.571374
0.834,-0.5441895,-0.892334,-2.0,0.004732824,-1.711832,0.5922137
0.855,-0.3286133,-1.2771,-1.989014,-0.1132824,-2.384351,0.8041985
0.877,-0.05444336,-1.405029,-0.9931641,-0.0170229,-2.501374,1.364122
0.898,0.2272949,-1.019531,-0.1237793,0.2198473,-2.501374,1.829389
0.92,0.2460938,-0.8239746,0.6298828,0.7219084,-2.21145,2.064962
0.941,0.2272949,-0.5629883,0.8618164,0.9677099,-1.374122,2.346641
0.962,0.2399902,-0.4628906,0.6743164,0.7319847,-0.660229,2.501221
0.984,0.4987793,-0.5168457,0.7600098,0.05503817,-0.1614504,2.501298
1.005,0.5761719,-0.1518555,1.021973,-0.02916031,0.3681679,2.501298
1.026,0.5793457,0.1877441,0.8181152,0.1090076,1.011145,2.501298
1.048,0.6760254,0.2770996,0.4699707,-0.2258015,1.419008,2.501298
1.069,0.7839355,0.4780273,0.8903809,-0.7956489,1.866718,2.501298
1.09,0.7246094,0.9125977,0.6357422,-0.4908397,2.501298,2.501298
1.112,0.8874512,0.8322754,-0.2346191,0.2327481,2.501298,2.389008
1.133,0.8317871,1.174072,-0.7299805,-0.04763359,2.501298,2.210153
1.155,0.717041,1.875244,-0.9255371,-0.1768702,2.501298,1.710305
1.176,0.6086426,1.999939,-1.42749,0.119542,2.501298,0.7942748
1.197,0.4450684,1.999939,-1.473389,0.4734351,2.10229,-0.2660305
1.219,0.3286133,1.772949,-1.186035,0.4821374,2.124275,-1.127405
1.24,0.3146973,1.016113,-1.435303,0.6603817,2.331679,-1.659084
1.261,0.1933594,0.3518066,-1.988281,0.7741985,2.104275,-1.770611
1.283,-0.02319336,0.2731934,-1.890381,0.9767939,1.733053,-1.70916
