time,X,Y,Z,ROLL,PITCH,YAW
2.614,-0.6953125,-0.1433105,-0.75,0.003435114,-0.01969466,-0.08893129
2.637,-0.6899414,-0.0769043,-0.7744141,0.0003816794,-0.05977099,-0.0910687
2.659,-0.6943359,-0.1132813,-0.7155762,0.06755725,-0.09053435,-0.119084
2.683,-0.6877441,-0.1625977,-0.7207031,0.0851145,-0.08641222,-0.09694656
2.705,-0.6943359,-0.173584,-0.7128906,0.03236641,-0.0861832,-0.03053435
2.726,-0.7004395,-0.1425781,-0.6660156,-0.01122137,-0.07442748,0.03198473
2.748,-0.692627,-0.1030273,-0.677002,0.004045802,-0.06351146,0.04877862
2.769,-0.682373,-0.08959961,-0.7219238,0.02038168,-0.07221374,0.04648855
2.791,-0.6862793,-0.07495117,-0.6987305,0.005801527,-0.08992367,0.03625954
2.812,-0.6779785,-0.09765625,-0.6508789,0.01366412,-0.07809161,0.03335878
2.833,-0.6894531,-0.06176758,-0.6628418,0.02152672,-0.04282443,0.02160306
2.855,-0.6848145,-0.04467773,-0.7263184,0.009312977,-0.04129771,-0.01236641
2.876,-0.7019043,-0.0769043,-0.697998,0.01167939,-0.06748092,-0.03954199
2.897,-0.7175293,-0.1137695,-0.6398926,0.05534351,-0.06045802,-0.04099236
2.919,-0.7390137,-0.130127,-0.6437988,0.09885496,-0.02885496,-0.02007634
2.94,-0.7231445,-0.09716797,-0.7270508,0.1036641,-0.02198473,-0.0001526718
2.962,-0.7062988,-0.0480957,-0.7631836,0.06725191,-0.06022901,-0.009389313
2.983,-0.7009277,-0.08422852,-0.704834,0.07244275,-0.08755725,-0.03610687
3.006,-0.697998,-0.145752,-0.6555176,0.09854961,-0.08244275,-0.009083969
3.028,-0.6918945,-0.1088867,-0.654541,0.1209924,-0.05923664,0.0319084
3.049,-0.682373,-0.05639648,-0.6940918,0.1333588,-0.03335878,0.02740458
3.07,-0.6567383,-0.07275391,-0.7580566,0.1319084,-0.02946565,-0.0003053435
3.092,-0.6677246,-0.08959961,-0.767334,0.1338168,-0.05694656,-0.01442748
3.113,-0.6733398,-0.09570313,-0.7033691,0.1344275,-0.07687023,-0.004961832
3.134,-0.685791,-0.06274414,-0.6479492,0.1443511,-0.05305343,-0.006183207
3.156,-0.6833496,-0.0637207,-0.6733398,0.1520611,-0.01541985,-0.02175572
3.177,-0.703125,-0.07373047,-0.7385254,0.1768702,-0.02526718,-0.03229007
3.198,-0.7080078,-0.078125,-0.7451172,0.1641985,-0.06374045,-0.05099236
3.22,-0.7045898,-0.1210938,-0.6845703,0.1409924,-0.07312977,-0.03824427
3.241,-0.7092285,-0.1379395,-0.6601563,0.1491603,-0.05763359,-0.01648855
