time,X,Y,Z,ROLL,PITCH,YAW
0.65,0.4128418,-0.3068848,0.3779297,1.052824,-0.0732061,2.379466
0.673,0.3044434,-0.1726074,0.2185059,1.015496,0.09442748,2.142596
0.695,0.1967773,-0.2119141,0.2490234,1.073206,0.1594657,1.905038
0.717,0.152832,-0.2753906,0.3022461,1.181527,0.2185496,1.783282
0.739,0.1984863,-0.309082,0.3583984,1.238931,0.3565649,1.809847
0.76,0.2346191,-0.1538086,0.2900391,1.20603,0.5630534,1.858244
0.782,0.2392578,-0.004882813,0.2468262,1.134122,0.7516794,1.816259
0.803,0.2163086,0.1105957,0.2458496,1.134351,0.9368702,1.730458
0.824,0.1657715,0.161377,0.1115723,1.19771,1.093053,1.586947
0.846,0.1916504,0.1647949,-0.01318359,1.02687,1.196412,1.555878
0.867,0.270752,0.1484375,0.1010742,1.044428,1.29687,1.560534
0.888,0.420166,0.2648926,0.05639648,1.215114,1.53374,1.59458
0.91,0.3972168,0.5302734,-0.1882324,1.190687,1.75084,1.600534
0.9309999,0.5957031,0.8173828,-0.4431152,1.013359,1.87916,1.579313
0.952,0.661377,1.141602,-0.5349121,1.204122,1.916336,1.376183
0.974,0.6716309,1.749756,-0.8039551,1.254046,1.995191,0.9666412
0.996,0.717041,1.999939,-1.043945,1.065954,1.987863,0.3990077
1.017,0.6525879,1.999939,-0.9997559,0.9137404,2.016565,-0.2745801
1.038,0.6494141,1.839844,-1.208984,0.6225954,2.222977,-0.8019084
1.06,0.536377,1.570801,-1.560791,0.4872519,2.199313,-1.142214
1.081,0.3581543,1.339844,-1.615479,0.6045802,2.016412,-1.322672
1.102,0.2250977,1.510254,-1.817627,0.4229771,1.973053,-1.458321
1.124,0.2722168,1.794922,-2.0,0.528626,1.706183,-1.929313
1.145,0.2414551,1.725098,-2.0,0.6367939,1.288092,-2.501374
1.167,0.2431641,1.360352,-1.906494,0.4275573,1.232061,-2.501374
1.188,0.1818848,0.2558594,-2.0,0.08488549,1.15916,-2.501374
1.209,-0.1169434,-0.3391113,-2.0,0.05977099,0.8113741,-2.501374
1.231,-0.3574219,-0.1977539,-2.0,0.02717557,0.3292366,-2.501374
1.252,-0.3771973,-0.4675293,-2.0,-0.05687023,-0.05938931,-2.501374
1.273,-0.3381348,-0.8110352,-1.746338,-0.1406107,-0.3333588,-2.501374
