time,X,Y,Z,ROLL,PITCH,YAW
1.961,1.264404,0.4953613,-0.05957031,-1.109771,-2.501374,2.501298
1.983,0.9101563,0.8234863,0.5092773,-1.164122,-2.501374,2.209008
2.013,0.3103027,0.6918945,1.418457,-0.7363358,-2.501374,1.195878
2.035,0.1464844,0.5615234,1.825684,-0.500687,-1.52855,0.6812214
2.056,-0.08374023,0.4963379,1.763428,-0.3054962,-0.2952672,0.2156489
2.078,-0.0925293,0.2519531,1.269043,-0.2628244,0.5745039,-0.1026718
2.099,-0.06005859,-0.005126953,0.7595215,-0.5312977,1.039618,-0.1785496
2.12,-0.07617188,-0.2299805,0.4150391,-0.8867939,1.233282,-0.07709923
2.142,-0.1420898,-0.2900391,0.1437988,-1.064275,1.227634,0.08114504
2.163,-0.1870117,-0.2893066,-0.001220703,-1.095801,1.105343,0.2170229
2.184,-0.1862793,-0.2468262,-0.03930664,-0.850458,0.9457253,0.299313
2.206,-0.1479492,-0.1931152,-0.0078125,-0.9272519,0.9101526,0.3480153
2.227,-0.06445313,-0.2687988,-0.01831055,-1.255344,0.9815268,0.4489313
2.249,-0.1098633,-0.4916992,0.04614258,-1.677557,1.07603,0.8051908
2.27,-0.01538086,-0.4143066,0.01708984,-1.431679,1.187405,1.202748
2.291,0.09008789,-0.2441406,-0.09082031,-1.002214,1.370076,1.388321
2.313,0.05737305,-0.1591797,-0.2385254,-1.177557,1.579847,1.660382
2.334,0.1174316,-0.1884766,-0.3840332,-1.878779,1.643969,2.102519
2.355,0.302002,-0.1828613,-0.4885254,-1.359008,1.503359,2.428931
2.377,0.3217773,-0.01782227,-0.7062988,-0.4463359,1.477634,2.501298
2.398,0.2089844,0.1435547,-1.148926,-0.8858015,1.346412,2.501298
2.419,0.3676758,0.6611328,-1.437256,-0.3069466,0.6275573,2.501298
2.441,0.4465332,0.9995117,-1.399902,0.02244275,-0.07198473,2.501298
2.462,0.4658203,0.8474121,-1.116211,0.2234351,-0.4990077,2.501298
2.483,0.5244141,0.9645996,-0.848877,0.06564885,-0.6073282,2.501298
2.505,0.7753906,1.079102,-0.7297363,0.06656489,-0.5087786,2.501298
2.526,0.8659668,1.331055,-0.7702637,-0.1582443,-0.2638931,2.501298
2.548,1.026855,1.866699,-0.7651367,-0.5958015,-0.208855,2.501298
2.569,0.9604492,1.999939,-0.8583984,-0.5471756,-0.2543511,2.501298
2.59,1.037598,1.999939,-0.9660645,-0.4338168,-0.3198473,2.501298
