time,X,Y,Z,ROLL,PITCH,YAW
0.65,-0.4423828,-2.0,-0.8554688,-0.5645802,1.93542,0.9084732
0.673,-0.3081055,-2.0,-1.59668,-0.4010687,1.26771,2.465725
0.695,0.4711914,-2.0,-1.371582,-0.5564122,0.6019847,2.501298
0.718,1.2854,-1.260986,-1.095703,-0.1344275,0.1929771,2.501298
0.739,1.85498,0.864502,-1.002686,0.4141985,0.04366413,2.501298
0.761,1.937256,1.999939,-0.9553223,0.4058015,0.04259542,2.501298
0.782,1.817383,1.999939,-0.359375,0.4920611,0.1462595,2.501298
0.804,1.600586,1.999939,0.2773438,0.6013741,0.7345801,1.008855
0.825,1.795654,1.999939,1.046387,0.8364122,1.662443,-1.983893
0.847,1.999939,1.999939,1.29541,0.8963359,2.501298,-2.501374
0.8679999,1.999939,0.9023438,0.5529785,0.1331298,2.501298,-2.501374
0.89,1.999939,-2.0,-2.0,-0.8288549,2.501298,-2.501374
0.9110001,-0.05688477,-2.0,-2.0,-0.4244275,2.501298,-2.501374
0.932,-1.131836,-2.0,-2.0,0.03854962,1.039389,-0.8085497
0.954,-1.072754,-0.9321289,-2.0,0.1561832,0.4727481,-0.4084733
0.975,-0.8879395,-1.090332,-2.0,-0.01885496,-0.07206107,-0.1493893
0.996,-0.5756836,-0.8566895,-2.0,-0.0829771,-0.6169466,0.3362596
1.018,-0.3518066,-0.2387695,-1.622314,0.2267939,-0.89229,0.6364885
1.039,-0.2319336,0.2873535,-1.21582,0.3373282,-0.8861069,0.6717557
1.061,-0.1767578,0.5749512,-0.8850098,-0.3232825,-0.652061,0.5015267
1.082,-0.1638184,0.5756836,-0.7373047,-0.408626,-0.4110687,0.240687
1.103,-0.1706543,0.4594727,-0.9350586,-0.06038168,-0.2267939,-0.01152672
1.125,-0.1772461,0.4719238,-1.299561,0.09022901,-0.3083969,-0.2507634
1.146,-0.1420898,0.2407227,-1.371582,-0.1858779,-0.5657252,-0.4623664
1.167,-0.1879883,-0.1408691,-1.035889,-0.06015267,-0.7628244,-0.5025954
1.189,-0.239502,-0.3745117,-0.7885742,-0.00480916,-0.7387786,-0.2982443
1.21,-0.2543945,-0.2856445,-0.7573242,0.08488549,-0.6656489,-0.0440458
1.231,-0.1733398,0.04711914,-0.04101563,-0.471374,-0.4715267,0.2118321
1.253,-0.1611328,0.2131348,-0.6916504,0.2252672,0.2234351,0.2223664
1.274,-0.3415527,0.4848633,-1.746094,-0.2070992,-0.006717557,-0.0489313
