time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.644043,-0.0078125,-0.7456055,0.007022901,0.1143511,0.04572519
0.037,-0.6574707,0.04272461,-0.8571777,0.01351145,0.08534351,0.01450382
0.05900001,-0.6760254,0.06640625,-0.9243164,0.004503817,-0.0009160305,0.01793893
0.08,-0.675293,0.05883789,-0.8469238,-0.008549619,-0.06893129,0.01419847
0.102,-0.6804199,0.04150391,-0.7956543,-0.04984733,-0.09229008,0.007251909
0.123,-0.7294922,0.09130859,-0.814209,0.0003053435,-0.08748092,0.02458015
0.144,-0.7810059,0.1623535,-0.8532715,0.03633588,-0.09984733,-0.06961832
0.166,-0.8144531,0.08569336,-0.8481445,-0.1172519,-0.1130534,-0.110687
0.187,-0.8022461,0.05273438,-0.7595215,-0.2280153,-0.1148092,-0.1456489
0.209,-0.7475586,-0.05419922,-0.6647949,-0.1568702,-0.07183206,-0.150229
0.23,-0.7375488,-0.1589355,-0.7668457,-0.09427482,-0.02908397,-0.06748092
0.251,-0.6882324,-0.0168457,-0.8029785,-0.2325954,-0.05129771,0.06221375
0.273,-0.7004395,0.1916504,-0.5114746,-0.09022901,0.03305343,0.02068702
0.294,-0.6303711,0.2365723,-0.8920898,0.1589313,0.05740458,-0.1138168
0.315,-0.5490723,-0.09863281,-0.9160156,0.1145038,-0.02854962,-0.08427481
0.337,-0.583252,-0.0559082,-0.9245605,-0.0861832,-0.1028244,0.1316794
0.358,-0.5771484,0.06713867,-0.9213867,-0.06541985,-0.2278626,0.1631298
0.38,-0.5737305,0.09741211,-0.7563477,0.1680153,-0.2803054,0.09305344
0.401,-0.6276855,0.02172852,-0.7104492,0.3656489,-0.1908397,-0.01908397
0.422,-0.6391602,-0.3859863,-0.8862305,0.357939,-0.1156489,-0.09129771
0.444,-0.5515137,-0.887207,-1.089844,0.1662595,-0.1261832,0.05396947
0.465,-0.4177246,-1.373047,-1.177002,0.5314504,-0.2592366,0.3462595
0.487,-0.2668457,-1.439453,-1.19043,0.6723664,-0.4182443,0.819771
0.508,-0.248291,-1.097168,-0.9040527,0.7141221,-0.5143511,1.20084
0.529,-0.2668457,-0.8891602,-0.5483398,0.7773283,-0.4657252,1.457863
0.551,-0.217041,-0.6252441,-0.3693848,0.7303817,-0.2464122,1.732672
0.572,-0.1311035,-0.3400879,-0.3549805,0.9424428,-0.04603053,1.974046
0.593,-0.1875,0.2443848,-0.5488281,1.091069,0.1378626,2.152748
0.615,-0.189209,0.9682617,-0.8295898,0.750687,0.1491603,2.09542
0.636,-0.1347656,1.327148,-0.7729492,0.5394657,0.09564885,1.809924
