time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.4523926,0.2172852,-1.531006,-0.2731297,0.279084,0.1891603
0.023,-0.4379883,0.005126953,-1.319824,-0.8324428,-0.07709923,0.1920611
0.045,-0.3862305,-0.09936523,-0.8723145,0.1651145,-0.1260305,0.2622901
0.07,-0.5183105,0.1276855,-0.9042969,0.2345038,-0.01099237,0.2919847
0.092,-0.4030762,0.1811523,-1.032227,0.1670992,0.03610687,0.2350382
0.113,-0.3818359,0.1242676,-1.088135,-0.1641221,0.03732824,0.2142748
0.134,-0.4580078,0.1166992,-1.069824,-0.1717557,-0.02679389,0.1777863
0.156,-0.4765625,0.123291,-1.038574,0.0009923666,-0.0948855,0.1324427
0.177,-0.4477539,0.06445313,-1.041992,0.2493893,-0.1799237,0.09267176
0.199,-0.4196777,0.02612305,-1.023193,0.1051908,-0.2281679,0.1259542
0.22,-0.4294434,0.01049805,-0.9335938,-0.09068703,-0.2336641,0.1772519
0.241,-0.4306641,0.1176758,-0.8945313,-0.1823664,-0.2130534,0.1819847
0.263,-0.4042969,0.1687012,-0.8640137,-0.07167939,-0.1981679,0.130916
0.284,-0.4104004,0.2160645,-0.8564453,0.06541985,-0.1830534,0.06198473
0.306,-0.3886719,0.1083984,-0.7944336,0.08755725,-0.1110687,0.02175572
0.327,-0.4694824,0.1906738,-0.8479004,-0.02274809,0.02679389,0.007328244
0.348,-0.581543,0.09545898,-1.124023,-0.250687,0.2182443,-0.05824428
0.37,-1.032959,-0.3320313,-1.623047,0.339084,0.2317557,-0.04007633
0.391,-1.115479,-0.7770996,-2.0,0.6346565,0.06801527,0.1948092
0.412,-0.8007813,-1.147217,-2.0,0.1122901,-0.6477862,0.6886259
0.434,-0.7175293,-1.168945,-2.0,0.1247328,-1.348321,1.169771
0.455,-0.6113281,-1.086182,-1.668213,0.008549619,-1.739618,1.662748
0.476,-0.3635254,-0.4506836,-1.226563,-0.2887023,-1.837557,2.092748
0.498,0.007324219,0.1948242,-0.8083496,-0.8719847,-1.878168,2.124428
0.519,0.185791,0.810791,-0.4306641,-1.214504,-1.88542,1.91458
0.541,0.2971191,1.671387,-0.1064453,-0.9138931,-2.009618,1.487786
0.562,0.6833496,1.999939,0.6191406,-0.02992367,-1.979313,0.6094656
0.583,1.075195,1.999939,1.858887,-0.05526717,-1.169389,-0.7019847
0.605,0.9382324,1.999939,1.999939,0.02801527,0.5385496,-1.844656
0.626,0.9416504,1.999939,0.9196777,0.9845038,1.773053,-2.501374
