time,X,Y,Z,ROLL,PITCH,YAW
1.303,1.999939,-0.09277344,-1.130371,-2.501374,-0.660458,2.501298
1.326,1.999939,1.014893,-1.036621,-2.501374,-1.673206,2.501298
1.348,1.999939,1.999939,-0.4389648,-2.501374,-2.325878,2.501298
1.372,1.999939,1.999939,0.2248535,-0.9775573,-2.062595,2.501298
1.393,1.841064,1.999939,0.4316406,-0.3664886,-1.256107,2.228626
1.415,1.514893,1.999939,0.4746094,-0.5549619,-0.5719847,0.5488549
1.436,1.375,1.999939,0.3051758,-0.3032061,0.1863359,-0.8660305
1.458,1.333252,1.999939,-0.3149414,-0.318626,0.6632824,-1.547099
1.479,1.152588,1.999939,-0.5913086,-0.4873282,0.9192367,-1.947863
1.5,1.099609,1.999939,-1.016113,-0.5854198,1.132824,-2.501374
1.522,1.224365,1.999939,-1.465088,-0.3541985,0.9845038,-2.501374
1.543,1.401855,1.999939,-1.573242,-0.1227481,0.5641985,-2.501374
1.564,1.628662,1.752441,-1.48584,-0.09091603,0.1663359,-2.501374
1.586,1.700439,0.5859375,-1.529785,-0.1708397,0.02114504,-2.501374
1.607,1.645508,-0.8640137,-1.892578,0.329771,-0.4862596,-2.501374
1.629,1.426025,-2.0,-1.539307,1.461145,-1.613359,-2.501374
1.65,0.9970703,-2.0,-0.3583984,1.641298,-2.307176,-2.501374
1.671,0.3820801,-1.787109,0.6560059,0.9141222,-1.985878,-2.501374
1.693,0.03613281,-1.988037,0.7768555,0.2155725,-1.141527,-1.943511
1.714,-0.01049805,-1.963623,0.4985352,0.05244275,-0.6250381,-1.125954
1.735,-0.07324219,-1.398438,0.2011719,0.3755725,-0.3858779,-0.5317557
1.757,-0.1674805,-0.8662109,0.03710938,0.2346565,-0.2657252,-0.3151145
1.778,-0.3286133,-0.6296387,-0.06835938,0.08335877,-0.1429008,-0.3638931
1.799,-0.2355957,-0.7429199,-0.204834,0.1029771,-0.08549618,-0.2657252
1.821,-0.3286133,-0.6086426,-0.3334961,0.642519,-0.1738168,-0.06969465
1.842,-0.4223633,-0.4724121,-0.3369141,0.4572519,-0.2506107,0.0919084
1.864,-0.4943848,-0.3139648,-0.4748535,0.8178626,-0.3706107,0.07167939
1.885,-0.2307129,-0.3029785,-0.6447754,1.406336,-0.8977862,0.01450382
1.906,-0.126709,-0.3540039,-0.2941895,0.93,-1.17,0.05419847
1.928,-0.9672852,-0.2692871,0.003173828,1.609618,-0.9714504,0.07305343
