time,X,Y,Z,ROLL,PITCH,YAW
1.945,0.7678223,1.153564,-0.2004395,1.79397,1.887481,-1.768015
1.968,0.7121582,0.8137207,-0.362793,1.520153,2.302366,-1.747557
1.989,0.6577148,0.8217773,-0.6748047,1.112519,2.501298,-1.590916
2.012,0.4677734,0.8098145,-0.6782227,1.108779,2.501298,-1.616107
2.034,0.3686523,0.6201172,-0.6904297,1.117939,2.501298,-1.604351
2.055,0.3837891,0.5002441,-1.126709,1.023511,2.501298,-1.487023
2.077,0.3344727,0.4072266,-1.803711,0.947481,2.501298,-1.323817
2.098,0.1257324,0.2956543,-2.0,0.7568702,2.443435,-1.032748
2.119,0.008300781,0.3249512,-2.0,0.5100763,1.842061,-0.6229771
2.141,-0.09741211,0.6315918,-2.0,0.4529771,1.234962,-0.4277863
2.162,-0.1428223,0.8439941,-2.0,0.6561832,0.5937405,-0.4764885
2.183,-0.154541,1.001221,-1.783691,0.780916,0.01473282,-0.6177863
2.205,-0.1447754,1.060303,-1.506592,0.6850381,-0.3573282,-0.8089313
2.226,-0.08178711,1.015381,-1.356445,0.800229,-0.6505343,-1.043664
2.247,-0.06005859,0.8254395,-1.227783,1.043588,-0.9649618,-1.290382
2.269,-0.04003906,0.5268555,-0.9748535,1.566794,-1.229618,-1.380076
2.29,-0.06616211,0.3842773,-0.7905273,1.885573,-1.356947,-1.293359
2.312,-0.2858887,0.3269043,-0.8618164,2.398015,-1.436565,-1.186183
2.333,-0.2810059,0.02490234,-0.7807617,2.387099,-1.435878,-0.8153435
2.354,-0.2700195,-0.06811523,-0.581543,1.562595,-1.134656,-0.2680916
2.376,-0.3605957,0.2004395,-0.6821289,0.7674809,-0.8155725,-0.07725191
2.397,-0.3947754,0.4143066,-0.8078613,0.5270992,-0.7133588,-0.2896183
2.418,-0.3129883,0.4724121,-0.9812012,-0.7683969,-0.6098473,-0.4783969
2.44,-0.0715332,0.1452637,-1.029297,-0.5561069,-0.9229771,-0.5114504
2.461,-0.3527832,0.4785156,-0.9638672,-0.2867176,-1.133359,-0.4946565
2.483,-0.3017578,0.5834961,-0.9802246,-0.6686259,-1.17916,-0.5954198
2.504,-0.3466797,0.5844727,-0.7460938,-0.7683206,-1.14542,-0.8487023
2.526,-0.4414063,0.4458008,-0.7294922,-0.531145,-1.031145,-0.9714504
2.547,-0.5014648,0.2524414,-0.7006836,-0.5765649,-1.009237,-0.9458015
2.568,-0.5124512,0.2319336,-0.5251465,-0.7561832,-0.880458,-0.830916
