time,X,Y,Z,ROLL,PITCH,YAW
1.948,-0.05395508,0.4567871,-1.360352,-0.5315268,-0.2360305,-1.398931
1.971,-0.121582,0.3935547,-1.321289,-0.3645038,-0.4536641,-1.558855
1.993,-0.09521484,0.1525879,-0.9960938,-0.2900764,-0.5691603,-1.577634
2.016,-0.1340332,0.05273438,-0.8859863,-0.5332061,-0.4203053,-1.458855
2.037,-0.1965332,0.09326172,-1.178711,-1.036794,-0.3305343,-1.346107
2.059,-0.3537598,0.1413574,-1.168945,-0.6691603,-0.5164886,-1.273588
2.08,-0.3928223,0.01928711,-0.9350586,-0.2116031,-0.6070992,-1.231756
2.101,-0.3461914,-0.07788086,-0.9533691,-0.2548092,-0.5670992,-1.055878
2.123,-0.333252,-0.0402832,-1.036133,-0.6077099,-0.6450382,-0.8296184
2.144,-0.4677734,0.1169434,-0.6181641,-0.4964122,-0.6461832,-0.6564885
2.166,-0.5012207,0.1750488,-0.4467773,-0.4541985,-0.3730534,-0.6075572
2.187,-0.4902344,0.2043457,-0.6711426,-0.3012977,-0.1890076,-0.6043511
2.208,-0.4545898,0.2790527,-0.8422852,-0.0740458,-0.2030534,-0.6164122
2.23,-0.5280762,0.2148438,-0.3129883,-0.2159542,0.01564886,-0.6338931
2.251,-0.5075684,-0.02978516,-0.9372559,-0.4174809,0.159084,-0.4429008
2.273,-0.6152344,0.1435547,-0.9689941,0.1437405,-0.02022901,-0.308855
2.294,-0.5834961,0.1564941,-0.5974121,0.4274809,0.01633588,-0.2551145
2.315,-0.5446777,0.2160645,-0.7072754,0.2854962,0.2073282,-0.2801527
2.337,-0.5070801,0.06445313,-0.9675293,0.02633588,0.2522137,-0.2219847
2.358,-0.5212402,-0.04150391,-0.970459,-0.1361069,0.1475573,-0.06503817
2.379,-0.5419922,0.119873,-0.8291016,0.01412214,0.09526718,0.04206107
2.401,-0.5266113,0.2756348,-0.8520508,0.1505343,0.1117557,0.0003816794
2.422,-0.513916,0.2272949,-0.8640137,-0.08496183,0.1167176,-0.006412214
2.443,-0.4602051,0.1882324,-0.7958984,-0.2734351,0.1575572,0.01885496
2.465,-0.5270996,0.2727051,-0.8356934,-0.07,0.1671756,0.0006870229
2.487,-0.4958496,0.229248,-0.8986816,0.1068702,0.120229,-0.03282443
2.509,-0.4702148,0.1774902,-0.838623,0.06274809,0.100229,0.01114504
2.53,-0.4533691,0.1682129,-0.8032227,-0.1,0.1345801,0.09236641
2.551,-0.4833984,0.2912598,-0.8051758,0.04625954,0.1891603,0.06251908
2.573,-0.4833984,0.230957,-0.8391113,0.2163359,0.1931298,0.01877862
