time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.5754395,0.4802246,-0.5910645,0.1529771,-0.02854962,0.2208397
0.023,-0.6442871,0.6369629,-0.4211426,0.4551908,-0.009847328,0.2058779
0.045,-0.5534668,0.6408691,-0.2927246,0.6084733,0.1582443,0.1357252
0.071,-0.5212402,0.6538086,-0.3325195,0.5015267,0.391145,0.07473283
0.092,-0.4968262,0.6369629,-0.4204102,0.409771,0.5815267,0.02748091
0.114,-0.4914551,0.5961914,-0.5866699,0.380458,0.6835114,-0.04328244
0.135,-0.5170898,0.6142578,-0.7404785,0.7429008,0.6455726,-0.08091603
0.156,-0.5405273,0.9953613,-0.7050781,1.256183,0.6487022,-0.2537405
0.178,-0.4978027,1.438965,-0.7939453,0.5050382,0.718168,-0.7261832
0.199,-0.3256836,1.274414,-0.4599609,-0.5177099,0.9627481,-1.219389
0.221,-0.6364746,1.239258,-0.3579102,2.390611,1.310382,-1.694504
0.242,-0.3479004,1.185547,-0.5749512,2.501298,1.642519,-2.434962
0.263,-0.1308594,0.7419434,-0.9433594,2.501298,1.617634,-2.501374
0.285,0.05078125,-0.07519531,-1.622314,2.501298,0.8351909,-2.501374
0.306,0.1340332,-0.8063965,-1.799805,2.501298,-0.449313,-2.501374
0.328,0.161377,-1.129639,-1.48999,2.501298,-1.551908,-2.501374
0.349,0.2836914,-1.385254,-1.352539,2.501298,-2.501374,-2.501374
0.37,0.6337891,-1.450684,-0.668457,2.501298,-2.501374,-1.063664
0.392,0.1408691,-1.658447,0.425293,2.501298,-2.501374,-0.2230534
0.413,0.2373047,-1.669678,0.8879395,2.501298,-2.501374,0.5684733
0.434,0.2663574,-1.300537,1.303223,2.501298,-2.136107,1.109237
0.456,0.3349609,-1.260498,1.166748,1.928321,-1.44,1.433359
0.477,0.4279785,-1.291016,0.838623,2.074427,-1.068473,1.854198
0.498,0.4753418,-0.8271484,0.6826172,2.501298,-0.8577863,2.253969
0.52,0.1655273,-0.1567383,0.9648438,1.476412,-0.5717557,2.314962
0.541,0.2727051,-0.1152344,1.20752,-1.193359,-0.3141222,2.156336
0.563,0.4433594,-0.3037109,1.200195,-2.501374,-0.01091603,2.105954
0.584,0.5480957,-0.5334473,1.628174,-2.501374,0.2430534,1.958321
0.605,0.6174316,-0.5791016,0.8598633,-2.501374,0.589313,1.938702
0.627,0.5402832,-0.8039551,1.095703,-1.953053,1.019847,2.185191
