time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.7919922,-0.004394531,-0.6884766,0.1156489,-0.009541985,0.03183206
0.023,-0.8398438,-0.07006836,-0.8127441,0.02549618,-0.1564886,0.02687023
0.045,-0.7773438,-0.07299805,-0.6740723,0.003816794,-0.3293893,0.04015267
0.067,-0.8383789,-0.07543945,-0.3837891,-0.119771,-0.2580153,0.08877862
0.089,-0.8547363,-0.01074219,-0.3422852,-0.1129008,-0.0680916,0.0767939
0.11,-0.824707,0.05517578,-0.4763184,-0.07442748,0.05580153,0.01458015
0.131,-0.9465332,0.04711914,-0.5527344,-0.1230534,0.07908397,-0.03305343
0.153,-1.216797,0.1447754,-0.6179199,-0.2614504,0.108626,-0.01648855
0.174,-1.541016,0.4433594,-0.9892578,-0.2440458,0.09946565,-0.0489313
0.195,-1.635254,0.6066895,-1.370117,-0.4050382,-0.1239695,-0.1633588
0.217,-1.846436,0.6638184,-1.583008,-1.038855,-0.4567175,-0.1719847
0.238,-1.841309,0.6464844,-1.816895,-1.458626,-0.8958778,-0.2154198
0.26,-1.625977,0.6203613,-1.917236,-1.939847,-1.428702,-0.3451145
0.281,-1.22876,0.4343262,-1.79541,-1.975267,-2.009542,-0.5136642
0.303,-0.9152832,0.2104492,-1.392822,-1.828473,-2.501374,-0.6643512
0.324,-0.6074219,0.005859375,-0.8371582,-1.87,-2.501374,-0.7765649
0.345,-0.2893066,-0.3276367,-0.1550293,-1.725191,-2.501374,-0.8629771
0.367,-0.1384277,-0.4758301,0.3476563,-1.061832,-2.224275,-0.8427481
0.388,-0.09741211,-0.4685059,0.4404297,-0.6470993,-1.62626,-0.8436641
0.409,-0.06225586,-0.5847168,0.2915039,-0.359771,-1.168931,-0.8521374
0.431,-0.1513672,-0.7687988,0.08422852,-0.43,-0.9405344,-0.6725191
0.452,-0.05102539,-0.7629395,-0.02001953,-0.5825191,-0.871374,-0.3754199
0.474,0.04760742,-0.6564941,0.1123047,-0.4385496,-0.8046565,-0.1734351
0.495,0.0378418,-0.5812988,0.3825684,0.05221374,-0.5806107,-0.1120611
0.516,0.01416016,-0.5334473,0.5002441,0.5351908,-0.1945038,-0.08145038
0.538,-0.01147461,-0.4814453,0.4116211,0.6138931,0.1666412,0.0006870229
0.559,0.002441406,-0.4440918,0.2231445,0.4271756,0.3860305,0.1416031
0.58,-0.02416992,-0.3935547,0.08154297,0.2489313,0.4877099,0.2880153
0.602,-0.1008301,-0.348877,-0.03613281,0.2870229,0.4753435,0.3776336
0.623,-0.08007813,-0.2900391,0.05029297,0.5194656,0.461374,0.4173283
