time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.6245117,-0.3059082,-0.8747559,0.01916031,0.1912214,0.05259542
0.038,-0.6433105,-0.3796387,-0.9052734,-0.04282443,-0.06236641,-0.01244275
0.06,-0.6323242,-0.3161621,-0.7993164,-0.01694657,-0.1484733,0.06450382
0.081,-0.611084,-0.1188965,-0.6394043,0.08877862,-0.1245802,0.01229008
0.103,-0.6079102,-0.2038574,-0.6552734,0.09694656,-0.04358778,-0.0670229
0.124,-0.614502,-0.3129883,-0.6743164,-0.02938931,0.02641221,-0.0340458
0.146,-0.6367188,-0.2646484,-0.730957,0.04946565,0.04022901,-0.01030534
0.167,-0.6208496,-0.2407227,-0.8286133,0.06610687,7.633586e-05,-0.02068702
0.188,-0.607666,-0.2280273,-0.7514648,0.08442748,-0.03870229,-0.04610687
0.21,-0.5839844,-0.2814941,-0.6743164,0.06824428,-0.002519084,-0.0972519
0.231,-0.5441895,-0.4379883,-0.6586914,0.06183207,0.08160305,-0.1263359
0.252,-0.4667969,-0.7043457,-0.7636719,-0.05572519,0.1514504,-0.1078626
0.274,-0.3286133,-0.9829102,-0.8095703,-0.2542748,0.1651145,0.0419084
0.295,-0.2817383,-1.105225,-0.7751465,-0.2143512,0.1459542,0.2694657
0.316,-0.3291016,-1.136719,-0.7363281,0.01480916,0.1603817,0.442061
0.338,-0.3254395,-1.273926,-0.7919922,0.3000763,0.1873282,0.6393893
0.359,-0.3137207,-1.367188,-0.9216309,0.3052672,0.1994656,0.9616794
0.381,-0.3100586,-1.164795,-1.025391,0.1662595,0.1682443,1.310153
0.402,-0.3044434,-0.902832,-1.107422,0.1545801,0.05938931,1.548397
0.423,-0.2973633,-0.6293945,-1.120605,0.4167939,-0.08206106,1.696488
0.445,-0.2834473,-0.4294434,-1.055664,0.6464122,-0.1883969,1.812977
0.466,-0.2602539,-0.119873,-1.035889,0.6844275,-0.24,1.92687
0.487,-0.2729492,0.1643066,-0.9291992,0.5990076,-0.2860305,1.968321
0.509,-0.2910156,0.5129395,-0.8046875,0.5571756,-0.2725191,1.904657
0.53,-0.3305664,0.8337402,-0.722168,0.6827481,-0.2010687,1.701603
0.552,-0.3930664,0.9748535,-0.8256836,0.7417557,-0.1254962,1.441145
0.573,-0.4306641,1.04126,-0.9291992,0.4478626,-0.1494657,1.246489
0.594,-0.4638672,1.067383,-0.7568359,0.3807633,-0.1672519,1.013359
0.616,-0.4602051,0.9729004,-0.6191406,0.5268703,-0.1264886,0.7853436
0.637,-0.4589844,0.9174805,-0.515625,0.6024427,-0.02198473,0.6213741
