time,X,Y,Z,ROLL,PITCH,YAW
3.89,0.4384766,1.999939,0.6757813,0.1920611,1.965114,-1.254122
3.912,0.9980469,1.999939,0.817627,0.1401527,2.501298,-2.501374
3.934,1.866699,1.370605,0.3093262,0.9211451,2.501298,-2.501374
3.957,1.938232,-0.1020508,-0.8696289,0.917939,2.501298,-2.501374
3.979,1.366211,-2.0,-2.0,-1.073511,2.501298,-2.501374
4.004,-0.3425293,-2.0,-2.0,-1.743435,1.603053,-2.276565
4.025,-0.4377441,-2.0,-1.95874,-0.8175572,0.7903053,-0.9248856
4.047,-0.5070801,-2.0,-1.708984,0.2585496,0.3738168,0.0219084
4.068,-0.4399414,-2.0,-1.526611,0.1987023,0.03274809,0.7538168
4.089,-0.3449707,-1.975586,-1.163818,-0.9140458,-0.07305343,1.377481
4.111,-0.267334,-1.991455,-0.8532715,-1.375496,-0.02366412,1.996947
4.132,-0.1096191,-1.694092,-1.04126,-0.880229,-0.1361069,2.501298
4.153,0.08374023,-1.173828,-1.275391,-0.4467939,-0.448397,2.501298
4.175,0.3601074,-0.515625,-1.142822,-0.5048855,-0.8005343,2.501298
4.196,0.5544434,0.3476563,-0.6809082,-0.5523664,-0.9780152,2.501298
4.218,0.5371094,1.257324,-0.4055176,-0.149771,-0.8805344,2.501298
4.239,0.3984375,1.862061,-0.5390625,0.2177099,-0.6877099,2.501298
4.26,0.3515625,1.866943,-0.6411133,-0.005572519,-0.6626718,1.983206
4.282,0.3969727,1.732666,-0.3996582,0.309313,-0.6746565,1.320229
4.303,0.3737793,1.999939,-0.1242676,0.7642748,-0.5932825,0.6309161
4.324,0.3818359,1.999939,0.4807129,0.6987023,-0.1419084,-0.3
4.346,0.5849609,1.999939,1.335449,0.6840458,0.8929771,-1.881145
4.367,1.362305,1.999939,1.48877,1.159695,2.338626,-2.501374
4.388,1.999939,1.173828,0.6904297,1.070153,2.501298,-2.501374
4.41,1.999939,-1.421387,-0.6865234,0.160916,2.501298,-2.501374
4.431,1.066406,-2.0,-2.0,-1.434733,2.501298,-2.501374
4.453,-0.5874023,-2.0,-2.0,-1.618321,1.79771,-1.206794
4.474,-0.4841309,-1.375977,-2.0,-0.1332061,0.7158779,-0.4291603
4.496,-0.416748,-0.8894043,-2.0,0.4785496,0.3177099,-0.2121374
4.517,-0.4125977,-0.7595215,-2.0,0.1508397,0.160687,-0.04740458
