time,X,Y,Z,ROLL,PITCH,YAW
1.298,0.01147461,-2.0,0.3898926,-0.1674809,1.165573,1.528092
1.32,0.171875,-2.0,0.04882813,7.633586e-05,1.424199,2.019771
1.342,0.34375,-1.746094,-0.2043457,-0.03687023,1.617328,2.501298
1.365,0.4304199,-1.466309,-0.3703613,0.1026718,1.730992,2.501298
1.387,0.6767578,-1.410645,-0.5944824,0.4574046,1.79229,2.501298
1.408,0.7412109,-0.8505859,-0.7780762,0.6271756,1.795878,2.501298
1.43,0.7353516,-0.4064941,-0.8349609,0.7533588,1.789771,2.501298
1.451,0.7231445,-0.1530762,-0.9533691,0.9625954,1.814962,2.501298
1.472,0.579834,0.2270508,-1.345215,0.8337404,1.775878,2.501298
1.494,0.4047852,0.5703125,-1.481689,0.8179389,1.586489,2.501298
1.515,0.4001465,0.6206055,-1.612305,0.8951908,1.420687,2.300687
1.536,0.3969727,0.817627,-1.769531,0.8176335,1.267252,2.066489
1.558,0.3461914,1.165771,-1.865479,0.6744275,1.107176,1.689237
1.579,0.1833496,1.336914,-2.0,0.4262596,0.9054198,1.178321
1.601,0.02319336,1.322021,-2.0,0.02503817,0.6718321,0.6912213
1.622,-0.08496094,1.088135,-2.0,-0.04396947,0.3491603,0.3071756
1.643,-0.2177734,1.036377,-2.0,0.01396947,-0.1747328,0.05496183
1.665,-0.291748,1.010986,-2.0,-0.03335878,-0.780229,-0.2605343
1.686,-0.3391113,0.9316406,-2.0,-0.2870992,-1.172214,-0.5664886
1.707,-0.425293,0.8237305,-2.0,-0.4922901,-1.402061,-0.8843512
1.729,-0.4152832,0.5498047,-2.0,-0.6965649,-1.673282,-1.161527
1.75,-0.4394531,0.1723633,-2.0,-0.7607634,-1.982214,-1.363588
1.771,-0.3330078,-0.2390137,-2.0,-0.6754961,-2.321298,-1.397099
1.793,-0.2475586,-0.3151855,-1.965088,-0.6638168,-2.501374,-1.306947
1.814,-0.07373047,-0.2075195,-1.740967,-0.5945802,-2.501374,-1.359313
1.836,0.1025391,-0.4929199,-1.187012,-0.6800764,-2.501374,-1.367252
1.857,0.2331543,-0.5949707,-0.8181152,-0.6019847,-2.501374,-1.316947
1.878,0.2836914,-0.5471191,-0.670166,-0.5319848,-2.501374,-1.29855
1.9,0.3381348,-0.8010254,-0.3681641,-0.4251908,-2.501374,-1.267481
1.921,0.3781738,-1.026123,-0.078125,-0.2240458,-2.501374,-1.074275
