time,X,Y,Z,ROLL,PITCH,YAW
0.659,-0.2695313,0.9724121,-0.8881836,0.8621374,0.2070992,2.226412
0.681,-0.2067871,1.244385,-0.9013672,0.6542748,0.1509924,1.91313
0.703,-0.2919922,1.511719,-0.7419434,0.1416031,0.2254199,1.576107
0.728,-0.3859863,1.501221,-0.7373047,0.05839695,0.3126718,1.159237
0.749,-0.4106445,1.237793,-0.921875,0.4041222,0.2229771,0.8543511
0.771,-0.3239746,1.229248,-0.9123535,0.4630534,-0.03954199,0.6235114
0.792,-0.223877,1.582275,-0.5976563,0.2393893,-0.2354198,0.1942748
0.813,-0.0534668,1.617188,-0.2844238,0.2565649,-0.2296947,-0.359313
0.8349999,0.208252,1.641357,-0.08789063,0.3233588,-0.1426718,-0.9430534
0.856,0.4138184,1.731689,0.1550293,0.2545801,0.1666412,-1.530229
0.877,0.5058594,1.675781,0.3059082,-0.09145039,0.7858015,-2.204427
0.899,0.5131836,1.091064,0.008789063,-0.2522901,1.554199,-2.501374
0.92,0.4482422,0.1357422,-0.736084,-0.2068702,2.064198,-2.501374
0.941,0.05126953,-1.456055,-1.98999,-0.2906107,2.082366,-2.501374
0.963,-0.5546875,-2.0,-2.0,-0.6305344,1.009008,-2.090153
0.984,-0.8776855,-1.866943,-2.0,-0.7382443,-0.01022901,-1.16084
1.005,-0.8625488,-1.356689,-1.331787,-0.6729771,-0.238168,-0.7099237
1.027,-0.8144531,-1.152832,-0.9125977,-0.6261832,-0.0280916,-0.4327481
1.048,-0.8288574,-1.126465,-1.157471,-0.7977099,0.2312214,-0.1174809
1.069,-0.7763672,-1.000732,-1.552979,-0.701603,0.05572519,0.1876336
1.091,-0.642334,-0.722168,-1.557373,-0.7325954,-0.3556489,0.4619084
1.112,-0.5397949,-0.2873535,-1.162842,-0.6909924,-0.6294656,0.5803817
1.134,-0.4772949,0.1928711,-1.011963,-0.8464123,-0.550687,0.4703053
1.155,-0.4970703,0.2783203,-1.063965,-0.7467175,-0.53,0.2548855
1.176,-0.4074707,0.01269531,-0.9489746,-0.5022901,-0.659771,0.201374
1.198,-0.4697266,0.1088867,-0.4667969,0.1701527,0.1230534,0.1767939
1.219,-0.5065918,0.1469727,-1.369141,-0.03244275,-0.1319847,0.2880916
1.241,-0.5229492,0.1711426,-0.9360352,-0.04702291,-0.3335114,0.319084
1.262,-0.4787598,0.09960938,-0.583252,0.2424428,-0.2541985,0.2768702
1.283,-0.4406738,0.1462402,-0.5612793,0.4110687,-0.01290076,0.2725954
