time,X,Y,Z,ROLL,PITCH,YAW
0.664,0.6379395,-1.584961,-1.076416,0.4747328,2.308855,2.501298
0.686,0.6809082,-0.9995117,-1.484619,0.7201527,2.089466,2.501298
0.707,0.7253418,-0.3149414,-1.987061,1.416412,1.627252,2.501298
0.729,0.9040527,0.6398926,-1.938477,1.07,1.210458,2.501298
0.75,0.9453125,1.778564,-1.63916,0.6396946,1.02313,2.501298
0.772,0.7253418,1.999939,-1.623291,0.6719847,0.9375573,2.501298
0.7940001,0.4494629,1.999939,-1.775635,1.240229,0.6863358,1.814504
0.815,0.1772461,1.999939,-1.887451,0.8073282,0.450458,0.8455726
0.837,-0.08886719,1.999939,-1.603271,-0.05969465,0.3221374,0.2022137
0.858,-0.2126465,1.779541,-1.499512,-0.3614504,0.1787786,-0.2250382
0.88,-0.2592773,1.328125,-1.440186,-0.1103817,-0.1440458,-0.4435878
0.901,-0.260498,1.150391,-1.239502,0.1293893,-0.4707633,-0.4986259
0.923,-0.2409668,1.188721,-0.762207,-0.2970992,-0.5085496,-0.4848855
0.9440001,-0.0637207,1.131104,-0.4445801,-0.9567176,-0.1799237,-0.5435114
0.966,0.1662598,1.079834,-0.5617676,-1.015878,0.1590076,-0.6840458
0.987,0.314209,1.224121,-0.9223633,-0.8055725,0.1905344,-0.8687786
1.009,0.3237305,1.634277,-1.020264,-0.7854198,-0.03221374,-1.186183
1.031,0.5751953,1.851074,-0.9060059,-0.8917557,-0.2052672,-1.827405
1.052,0.9719238,1.540527,-0.595459,-0.6751909,-0.2167939,-2.501374
1.074,1.201416,0.7067871,-0.454834,-0.7015267,0.005343511,-2.501374
1.095,1.111328,0.1889648,-0.3886719,-1.227328,0.3953435,-2.501374
1.117,1.024902,0.7463379,-0.4821777,-1.498397,0.8317557,-2.501374
1.138,1.470947,0.6577148,-0.9863281,-1.421298,1.151145,-2.501374
1.16,1.541992,-0.588623,-1.08374,-1.466412,1.298321,-2.501374
1.182,1.234131,-1.695068,-1.616699,-1.787023,1.602366,-2.501374
1.203,0.7260742,-2.0,-2.0,-2.023817,1.349847,-2.501374
1.225,0.04663086,-2.0,-2.0,-1.733282,0.2873282,-2.501374
1.246,-0.3071289,-2.0,-1.705078,-1.394809,-0.1848855,-1.498092
1.268,-0.1757813,-2.0,-1.103271,-0.7980153,-0.01900764,-1.230611
1.289,-0.1313477,-1.754883,-1.133545,-0.4616031,0.1769466,-1.190611
