time,X,Y,Z,ROLL,PITCH,YAW
0.659,-1.905518,1.999939,-2.0,-0.8031298,-0.8259542,2.195496
0.682,-1.866455,1.483643,-2.0,0.1141221,-2.060534,1.324656
0.704,-1.480469,1.021484,-2.0,0.4219084,-2.501374,1.025038
0.728,-0.857666,0.8620605,-2.0,-0.1479389,-2.501374,1.184733
0.75,-0.166748,0.9660645,-2.0,-0.6305344,-2.501374,1.239008
0.771,0.4516602,1.484375,-1.281982,-0.2974046,-2.501374,0.8919085
0.792,0.8293457,1.70459,-0.579834,0.0451145,-2.501374,0.2403817
0.814,0.973877,1.438477,-0.0715332,-0.006641221,-2.501374,-0.2485496
0.8349999,0.9685059,0.9257813,0.4204102,-0.4534351,-2.501374,-0.3472519
0.856,0.8989258,0.6308594,0.7268066,-1.031527,-2.501374,-0.2142748
0.8780001,0.7402344,0.3369141,0.8605957,-1.234885,-2.501374,-0.07778626
0.899,0.6298828,0.2556152,0.6806641,-1.486107,-2.050611,0.1312214
0.921,0.5859375,0.1279297,0.798584,-1.829313,-1.725496,0.2846565
0.942,0.6108398,-0.1098633,1.316895,-2.129466,-1.309008,0.4726717
0.963,0.564209,-0.1691895,1.669189,-2.029618,-0.6999236,0.6745801
0.985,0.5153809,-0.08789063,1.682861,-1.782977,-0.06221375,0.8234351
1.006,0.5102539,0.07080078,1.545654,-1.652824,0.4867939,0.9206106
1.027,0.5356445,0.1826172,1.582764,-1.751603,1.077557,1.009008
1.049,0.6264648,0.2194824,1.463135,-1.740229,1.662443,1.10771
1.07,0.762207,0.4589844,1.336426,-1.452061,2.266641,1.184351
1.091,0.861084,0.8137207,0.9230957,-1.369313,2.501298,1.114427
1.113,0.9086914,0.8569336,0.5900879,-1.334656,2.501298,0.9601527
1.134,0.9909668,0.7172852,0.161377,-1.049695,2.501298,0.9512214
1.156,1.169922,1.141602,-0.152832,-0.671603,2.501298,0.898855
1.178,1.19458,1.794189,-0.4555664,-0.8124427,2.501298,0.5012977
1.199,1.079834,1.454834,-1.073975,-1.210458,2.501298,0.0248855
1.22,0.5310059,0.4150391,-2.0,-1.301374,2.501298,0.0119084
1.242,-0.07373047,-0.4343262,-2.0,-1.204809,2.501298,0.700229
1.263,-0.449707,0.1645508,-2.0,-1.403893,2.501298,1.455801
1.284,-0.6523438,1.265625,-2.0,-1.485725,2.501298,1.479389
