time,X,Y,Z,ROLL,PITCH,YAW
1.305,-0.05908203,-0.3464355,-1.924316,0.2573282,2.285038,-1.945802
1.327,-0.2219238,-0.8723145,-2.0,0.7182443,1.718168,-1.726489
1.349,-0.3225098,-0.9790039,-2.0,0.4058015,0.2909924,-1.037939
1.372,-0.07666016,-0.3303223,-2.0,0.2067175,-0.7385496,-0.589084
1.394,0.1196289,-0.002685547,-1.62207,-0.2025191,-1.196412,-0.5425191
1.415,0.185791,0.1870117,-0.9824219,-0.3507633,-1.113511,-0.6401527
1.436,0.07421875,0.1174316,-0.855957,0.06145038,-0.7361069,-0.8099236
1.458,0.05419922,-0.04296875,-1.335205,0.2664122,-0.6564885,-0.7883969
1.479,0.06079102,-0.1318359,-1.273193,-0.1303053,-0.9035877,-0.5985496
1.501,0.008789063,0.2268066,-1.09082,-0.4935114,-1.023359,-0.5206871
1.522,-0.01611328,0.215332,-0.8569336,-0.2975573,-0.9846565,-0.68
1.544,-0.01831055,0.003417969,-0.9606934,-0.2170992,-0.8580915,-0.7458015
1.565,-0.1184082,-0.1740723,-1.135742,-0.9403817,-0.8222137,-0.5136642
1.586,-0.1794434,0.07250977,-0.9785156,-1.09626,-0.9394656,-0.2893893
1.608,-0.2175293,0.1166992,-0.6564941,-0.3612977,-0.9352672,-0.2979389
1.629,-0.2578125,-0.2126465,-0.3469238,-0.1492366,-0.770229,-0.07152672
1.65,-0.2893066,0.2561035,-0.3649902,0.4632061,0.2089313,0.08335877
1.672,-0.1984863,0.2922363,-0.9904785,-0.2650382,0.3076336,0.1220611
1.693,-0.2617188,0.4470215,-1.292969,-0.1442748,0.02564886,0.08374046
1.714,-0.2402344,0.2910156,-1.114258,-0.3743511,-0.1912214,0.07351145
1.736,-0.2307129,0.3613281,-0.875,-0.1635115,-0.1703053,0.02923664
1.757,-0.2612305,0.3352051,-0.8649902,0.05076336,-0.06664122,-0.02045801
1.779,-0.2116699,0.4321289,-1.094238,-0.06282443,-0.06770992,-0.04755725
1.8,-0.2380371,0.4533691,-1.167725,-0.2641985,-0.1868702,-0.1275573
1.821,-0.2719727,0.3688965,-0.967041,-0.2003053,-0.2844275,-0.2159542
1.843,-0.3378906,0.1826172,-0.9472656,0.1712977,-0.2187023,-0.2120611
1.864,-0.3388672,0.1987305,-1.047119,-0.04541985,-0.2798473,-0.1081679
1.885,-0.2922363,0.3237305,-0.9086914,-0.1914504,-0.3564122,-0.0953435
1.907,-0.269043,0.4274902,-1.019775,-0.3925191,-0.3125954,-0.1854198
1.928,-0.309082,0.3762207,-0.9465332,-0.6645038,-0.3633588,-0.1912214
