time,X,Y,Z,ROLL,PITCH,YAW
0.0,-0.6655273,0.3288574,-1.427002,0.2079389,0.489313,-0.3262596
0.023,-0.559082,0.1474609,-1.34375,0.4819084,-0.05496183,-0.2366412
0.045,-0.6970215,0.005126953,-0.4719238,1.752214,0.01961832,-0.1492366
0.07,-0.6796875,0.05517578,-0.4875488,1.562595,0.4480153,-0.01114504
0.092,-0.7036133,0.0612793,-0.9279785,1.17916,0.7400764,0.09862596
0.113,-0.5895996,0.1867676,-2.0,-0.2966412,0.6475573,0.2325954
0.135,-0.3728027,0.3366699,-2.0,-0.6425954,-0.1739695,0.04335878
0.156,-0.9633789,0.3933105,-1.434326,0.3898473,-0.718168,-0.2824428
0.178,-0.953125,0.3300781,-0.8935547,0.9087786,-0.7066412,-0.5178626
0.199,-1.05835,-0.3789063,-1.154541,0.4369466,-0.3175572,-0.3898473
0.22,-0.6696777,-1.143311,-1.614258,-0.03129771,-0.2354198,0.2471756
0.242,0.05029297,-1.438477,-1.93457,-0.1952672,-0.3373282,0.8389313
0.263,0.07617188,-1.712158,-2.0,0.3256488,-0.9308397,1.531985
0.285,0.4577637,-1.606689,-1.917725,1.131069,-1.600153,2.295038
0.306,0.4782715,-1.231934,-1.247559,1.200916,-1.700611,2.501298
0.327,0.546875,-0.9060059,-1.137451,1.728397,-1.508702,2.501298
0.349,0.6408691,-0.4443359,-1.353271,1.883053,-1.355878,2.501298
0.37,0.6213379,-0.01904297,-1.423828,2.103282,-1.440534,2.501298
0.391,0.5864258,0.4384766,-1.485352,1.463206,-1.599389,2.501298
0.413,0.6687012,0.7231445,-1.176025,1.113893,-1.905267,2.501298
0.434,0.8383789,0.9250488,-0.5114746,1.210916,-1.923664,2.501298
0.455,0.7539063,1.57666,0.1774902,1.793359,-1.464733,2.501298
0.477,0.6193848,1.999939,0.3044434,2.224046,-0.5655725,2.237557
0.498,0.7502441,1.999939,-0.0534668,1.458626,0.2223664,1.267328
0.519,0.6811523,1.999939,-0.3395996,0.7819084,0.5278626,0.3324428
0.541,0.6228027,1.914063,-0.5671387,1.063817,0.5894657,-0.3690076
0.562,0.654541,1.761719,-0.7272949,1.183741,0.4681679,-1.083053
0.584,0.7873535,1.596191,-0.6008301,0.2625191,0.348855,-1.69084
0.605,0.8125,1.437012,-0.06542969,-0.288626,0.671374,-2.20229
0.626,0.9289551,1.157227,0.2355957,0.09442748,1.422672,-2.501374
