time,X,Y,Z,ROLL,PITCH,YAW
0.659,-0.2502441,0.7016602,-0.8989258,0.2422137,0.2449618,0.311603
0.682,-0.2805176,0.7729492,-0.8093262,-0.2333588,0.1347328,0.2732824
0.704,-0.1516113,0.9130859,-0.6923828,-0.2150382,0.169313,0.1100763
0.729,-0.1560059,0.9243164,-0.6047363,-0.09931297,0.2980916,-0.07274809
0.751,-0.1271973,0.8093262,-0.7844238,-0.07977099,0.3624428,-0.1757252
0.772,-0.1826172,0.7595215,-0.8098145,-0.3101527,0.2603817,-0.1412214
0.7940001,-0.08032227,1.046875,-0.5427246,-0.5150382,0.1817557,-0.1952672
0.815,0.07324219,1.35376,-0.151123,-0.7457252,0.3203053,-0.4751908
0.8360001,0.3203125,1.28418,-0.1018066,-0.5235878,0.7267939,-0.8536641
0.858,0.1992188,0.9367676,-0.6193848,-0.548397,0.9430534,-1.034733
0.879,0.2275391,0.8583984,-0.972168,-1.021756,0.8547328,-0.9962596
0.9,0.309082,0.8325195,-1.11377,-0.7380153,0.6435878,-1.068321
0.922,0.07617188,0.5734863,-0.8881836,-0.8866412,0.509771,-1.119237
0.943,0.0612793,0.5112305,-0.7412109,-1.147786,0.6023664,-1.058092
0.9639999,0.2072754,0.5793457,-0.8464355,-0.9872519,0.7662596,-1.104427
0.986,0.05859375,0.3874512,-0.9216309,-0.731374,0.9741221,-1.26145
1.007,-0.04711914,-0.05737305,-1.434814,-0.6031298,1.106947,-1.280076
1.029,0.03100586,-0.21875,-1.701416,-0.5528244,0.9741221,-1.128702
1.05,0.01220703,-0.3374023,-1.744141,-0.4385496,0.8601526,-1.003664
1.071,-0.2971191,-0.5856934,-1.884033,-0.6228244,0.7019084,-0.7835114
1.093,-0.1259766,-0.3449707,-1.927979,-0.3805344,0.5387786,-0.6522138
1.114,-0.1206055,-0.4724121,-1.782227,-0.09961832,0.4409924,-0.6174809
1.135,-0.1489258,-0.6303711,-1.89624,-0.05114504,0.279771,-0.4429771
1.157,-0.2949219,-0.7077637,-1.80542,0.05877862,0.01412214,-0.1044275
1.178,-0.309082,-0.3168945,-1.366699,0.1233588,-0.1179389,0.07274809
1.2,-0.253418,-0.2368164,-1.118652,0.3869466,-0.04427481,0.03992367
1.221,-0.1967773,-0.4699707,-1.256104,0.4959542,-0.02900764,0.06755725
1.242,-0.192627,-0.7766113,-1.277588,0.3129771,-0.1641221,0.2459542
1.264,-0.1052246,-0.9384766,-1.028564,0.2959542,-0.1865649,0.6116794
1.285,-0.0456543,-0.8146973,-1.032959,0.3817557,-0.05496183,1.057176
