X,Y,Z,ROLL,PITCH,YAW
-0.35,-0.027,0.935,-0.0448,-0.0545,-0.02977
-0.364,-0.004,0.978,-0.02328,-0.04358,-0.04732
-0.386,0.031,0.984,-0.00465,-0.04549,-0.0529
-0.398,0.024,0.982,0.01229,-0.05083,-0.05145
-0.395,0.021,0.967,0.02106,-0.04587,-0.05122
-0.402,0.021,0.938,0.02122,-0.03778,-0.05557
-0.401,0.036,0.947,0.00664,-0.03725,-0.05488
-0.415,0.042,0.937,-0.01702,-0.02694,-0.04404
-0.425,0.048,0.95,-0.04473,-0.01984,-0.02984
-0.434,0.048,0.96,-0.05809,-0.01519,-0.00847
-0.433,0.043,0.959,-0.05641,-0.02053,0.01603
-0.402,0.022,0.941,-0.05847,-0.03908,0.02854
-0.369,0.013,0.949,-0.05473,-0.00236,0.03335
-0.368,0.007,0.966,-0.04763,0.00732,0.02786
-0.364,-0.001,0.988,-0.0229,0.00435,0.01358
-0.353,0.0,0.979,0.00282,0.00343,-0.00633
-0.349,-0.001,0.956,0.01137,-0.00885,-0.03603
-0.366,0.009,0.951,0.00916,-0.02503,-0.05549
-0.379,0.032,0.94,0.00824,-0.02908,-0.06954
-0.383,0.034,0.951,0.00572,-0.03534,-0.07122
-0.417,0.038,0.939,-0.00427,-0.04282,-0.05954
-0.436,0.054,0.946,-0.0061,-0.03977,-0.01351
-0.411,0.03,0.954,-0.0061,-0.01152,0.01931
-0.378,0.022,0.948,-0.01679,0.00916,0.02015
-0.385,0.006,0.963,-0.0361,0.00396,0.01229
-0.391,0.0,0.98,-0.04106,-0.01893,-0.00648
-0.396,0.001,0.996,-0.03038,-0.03984,-0.02381
-0.382,-0.002,0.985,-0.02091,-0.0603,-0.04106
-0.372,0.004,0.99,-0.00549,-0.06526,-0.04824
-0.356,-0.001,0.956,0.00961,-0.04183,-0.05282
-0.346,0.025,0.95,0.01526,-0.02465,-0.05236
-0.383,0.031,0.915,0.00381,-0.0119,-0.04694
-0.395,0.035,0.92,-0.00526,0.01061,-0.03519
-0.407,0.035,0.942,-0.01198,0.03244,-0.01763
-0.421,0.029,0.964,-0.01595,0.03297,-0.00519
-0.428,0.025,0.977,-0.02633,0.01053,0.00053
-0.417,0.007,0.977,-0.02335,-0.00267,0.00038
-0.412,-0.004,1.012,-0.00282,-0.03274,-0.0087
-0.391,-0.01,1.012,0.00702,-0.05328,-0.02442
-0.369,-0.01,1.002,0.00091,-0.05442,-0.03702
-0.374,0.0,0.986,0.03396,-0.0558,-0.04916
-0.379,0.019,0.962,0.04664,-0.04297,-0.04648
-0.39,0.031,0.94,0.04152,-0.04206,-0.04053
-0.394,0.031,0.929,0.01435,-0.05656,-0.0361
-0.384,0.024,0.949,0.00603,-0.04763,-0.03229
-0.371,0.016,0.969,0.01725,-0.02557,-0.02748
