X,Y,Z,ROLL,PITCH,YAW
-0.724,0.108,0.691,-0.19633,0.2357,0.15916
-0.788,0.143,0.668,-0.27183,0.03517,0.25633
-0.689,0.054,0.619,-0.29068,0.24173,0.27229
-0.637,0.031,0.584,-0.23862,-0.1705,0.31671
-0.637,0.149,0.49,-0.25748,0.0434,0.3177
-0.508,-0.145,0.799,-0.18984,0.06338,0.28335
-0.652,0.036,0.694,-0.06114,-0.17929,0.3261
-0.699,0.002,0.73,-0.25389,0.2047,0.22664
-0.552,-0.069,0.793,-0.24198,0.22828,0.10839
-0.898,0.147,0.496,-0.16221,0.23303,0.20183
-0.676,0.148,0.404,0.31201,-0.3166,0.10938
-0.75,0.026,0.556,0.31056,-0.16821,0.06992
-0.881,0.001,0.753,-0.1787,-0.22454,0.12854
-0.814,0.0,0.635,-0.12083,-0.25836,0.0477
-0.836,-0.031,0.677,-0.11045,-0.32614,-0.06236
-0.843,0.035,0.658,-0.10519,0.1241,-0.13404
-0.813,0.048,0.57,-0.1474,-0.09346,-0.17274
-0.817,0.1,0.503,-0.19687,-0.18758,-0.12664
-0.852,0.151,0.401,-0.26389,-0.22063,-0.01435
-0.905,0.197,0.348,0.3175,-0.29063,0.09687
-0.847,0.122,0.397,0.24262,-0.25811,0.18206
-0.785,0.1,0.463,0.23575,-0.21262,0.22809
-0.795,0.02,0.505,0.28979,-0.15422,0.23221
-0.744,-0.05,0.533,-0.28007,-0.12811,0.16122
-0.684,-0.096,0.571,-0.14389,-0.1072,0.04519
-0.735,-0.103,0.644,0.00114,-0.11025,-0.0503
-0.824,-0.112,0.705,0.18381,-0.23422,-0.14015
-0.865,-0.136,0.7,0.32374,0.24053,-0.24267
-0.98,-0.033,0.613,-0.28056,0.10465,-0.30885
-1.107,0.063,0.598,-0.2717,-0.01068,-0.28351
-1.081,0.238,0.402,0.26984,-0.02557,-0.0958
-1.037,0.25,0.351,0.12732,0.11229,0.04297
-0.995,-0.062,0.421,0.05427,0.21755,0.28358
-0.996,0.159,0.59,-0.00068,0.24396,0.239
-1.132,0.227,0.408,-0.14229,-0.17091,0.21984
-0.694,-0.08,0.476,-0.14587,-0.28694,0.10709
-0.664,-0.001,0.591,-0.0003,-0.31404,0.05381
-0.689,0.013,0.693,0.20343,-0.28702,0.02404
-0.808,-0.009,0.757,-0.28155,-0.29534,0.01297
-0.876,0.004,0.821,-0.14475,0.19185,-0.01473
-0.829,-0.057,0.824,-0.04017,-0.13624,-0.04358
-0.88,-0.009,0.775,-0.09979,0.28424,-0.04183
-0.999,0.066,0.801,-0.15101,0.02698,-0.04129
