X,Y,Z,ROLL,PITCH,YAW
-0.693,0.073,0.852,0.08809,-0.25763,-0.07755
-0.618,0.051,0.835,0.08839,-0.29259,-0.08694
-0.548,0.06,0.818,0.07694,-0.2245,-0.10717
-0.555,0.063,0.799,0.05549,-0.18946,-0.11412
-0.579,0.087,0.801,0.04625,-0.17709,-0.11015
-0.608,0.097,0.77,0.02557,-0.15587,-0.09618
-0.62,0.121,0.786,0.01793,-0.12045,-0.06404
-0.603,0.093,0.791,0.01503,-0.06938,-0.03167
-0.599,0.09,0.802,0.00854,-0.01458,-0.00633
-0.609,0.091,0.821,0.00465,-0.00312,0.00732
-0.584,0.061,0.833,0.01396,-0.03244,-0.02099
-0.553,0.058,0.822,0.02358,-0.03923,-0.04175
-0.562,0.07,0.828,0.03633,-0.06923,-0.04885
-0.587,0.081,0.839,0.04664,-0.06763,-0.04335
-0.584,0.054,0.835,0.05793,-0.09213,-0.0387
-0.555,0.058,0.815,0.0616,-0.12801,-0.06541
-0.586,0.081,0.794,0.05175,-0.16206,-0.0745
-0.587,0.102,0.778,0.03603,-0.18435,-0.0716
-0.606,0.11,0.768,0.01343,-0.18137,-0.05702
-0.584,0.111,0.78,-0.00641,-0.15519,-0.03816
-0.584,0.099,0.785,-0.02343,-0.13091,-0.02549
-0.576,0.084,0.79,-0.03404,-0.08847,-0.01595
-0.564,0.082,0.798,-0.04732,-0.05587,-0.009
-0.573,0.066,0.822,-0.05648,-0.04244,-0.01587
-0.59,0.062,0.864,-0.05748,-0.04984,-0.04183
-0.583,0.034,0.83,-0.05022,-0.05488,-0.05106
-0.592,0.044,0.852,-0.04396,-0.06015,-0.05847
-0.608,0.054,0.842,-0.03541,-0.0403,-0.04122
-0.583,0.07,0.828,-0.03145,-0.02564,-0.01885
-0.576,0.064,0.812,-0.03251,-0.02519,-0.00877
-0.574,0.077,0.81,-0.04328,-0.02183,-0.00435
-0.59,0.078,0.814,-0.0519,-0.03374,-0.0048
-0.592,0.071,0.834,-0.04725,-0.04374,-0.00068
-0.592,0.071,0.856,-0.03061,-0.04083,0.00847
-0.595,0.059,0.856,-0.01656,-0.03893,0.01938
-0.603,0.055,0.876,0.00549,0.0103,0.03541
-0.597,0.042,0.879,0.02778,0.03595,0.04816
-0.576,0.036,0.845,0.02458,0.05053,0.03832
-0.53,0.045,0.814,-0.00725,0.05992,0.039
-0.53,0.072,0.804,-0.03832,0.04587,0.01946
-0.547,0.099,0.77,-0.0777,0.03725,-0.01129
-0.591,0.093,0.822,-0.08748,0.03061,0.00335
