X,Y,Z,ROLL,PITCH,YAW
-0.436,-0.053,0.927,-0.06473,0.06647,0.13564
-0.473,-0.071,0.984,-0.09114,-0.24865,0.09725
-0.43,-0.04,0.919,-0.1003,-0.22903,0.01969
-0.421,-0.001,0.906,-0.14221,-0.17735,0.04557
-0.482,0.022,0.876,-0.149,-0.183,0.1058
-0.588,0.051,0.877,-0.15885,-0.2014,0.17687
-0.55,-0.053,0.854,-0.1419,-0.11559,0.26229
0.571,-0.365,0.314,-0.08015,-0.15425,0.2529
-0.319,0.109,0.451,-0.06137,0.32286,-0.21033
-0.541,-0.002,0.766,0.03923,-0.23746,-0.18071
-0.387,-0.205,0.746,0.01206,-0.01578,-0.27017
-0.626,-0.056,0.945,0.04297,0.32302,0.28854
-0.625,-0.131,1.051,0.00877,0.17004,0.15809
-0.592,-0.209,1.152,0.06679,-0.04019,0.04129
-0.692,-0.162,1.2,0.21198,-0.31401,-0.1074
-0.898,-0.037,0.982,0.11496,-0.06101,-0.21847
-0.855,-0.076,0.959,0.08557,-0.24094,-0.16068
-0.704,0.023,0.809,0.09251,-0.28384,-0.0958
-0.804,0.148,0.626,0.01603,0.31603,-0.02625
-0.836,0.019,0.596,-0.02221,-0.25201,0.08557
-0.714,-0.031,0.631,-0.00412,-0.12369,0.16099
-0.622,0.058,0.617,0.009,0.03486,0.19839
-0.637,0.046,0.608,-0.01435,0.18166,0.21938
-0.604,-0.025,0.629,0.01083,0.23044,0.16099
-0.691,0.003,0.68,0.06114,0.27647,0.13679
-0.714,0.035,0.659,0.05358,0.28853,0.18221
-0.811,0.036,0.661,0.03267,0.18151,0.16366
-0.925,-0.025,0.691,0.0377,0.13677,0.19496
-0.862,-0.008,0.771,0.02732,0.16334,0.169
-0.894,-0.045,0.849,0.03374,0.06494,0.16053
-0.827,-0.12,0.865,0.06389,-0.04613,0.04709
-0.854,-0.018,0.785,0.01763,-0.10544,-0.04213
-0.786,-0.038,0.808,0.02526,-0.06743,-0.08885
-0.988,0.044,0.678,-0.02786,-0.14689,-0.07259
-0.897,0.188,0.59,-0.06496,-0.06445,-0.09435
-0.972,0.138,0.538,-0.10938,0.13563,-0.02312
-0.981,0.145,0.531,-0.12427,-0.29683,0.05145
-1.198,0.193,0.495,-0.22419,-0.08363,0.15816
-1.363,0.143,0.61,-0.28755,0.14149,0.29687
-1.474,0.08,0.656,-0.29022,-0.27578,-0.26643
-1.755,0.163,0.593,0.19689,0.19743,-0.11598
-1.972,0.096,0.708,0.14735,-0.30778,0.06609
-2.0,0.22,0.783,0.28758,-0.25351,0.30983
-2.0,0.22,0.552,-0.23274,0.27017,-0.13752
-2.0,0.485,0.202,-0.28099,-0.00647,0.01034
-2.0,0.564,0.036,0.2433,-0.08601,0.19095
-2.0,0.527,-0.079,0.08033,-0.01967,-0.24647
-2.0,0.524,-0.089,-0.14181,0.1446,0.16773
-2.0,0.511,-0.003,-0.25273,-0.19267,0.3033
-2.0,0.434,0.085,0.31653,-0.12015,-0.25419
-2.0,0.386,0.138,0.18195,-0.12015,-0.1245
-2.0,0.31,0.26,0.07202,-0.20999,-0.12015
-1.995,0.251,0.383,0.02317,-0.30038,-0.12015
-1.638,0.084,0.588,0.06126,0.10704,-0.23129
-1.5,0.108,0.729,0.10263,-0.03349,0.26758
-1.383,0.106,0.868,0.19286,-0.20089,0.12025
-1.265,0.064,0.978,-0.32158,0.31256,-0.0125
-1.203,0.128,1.063,-0.14318,0.19676,-0.11326
-1.08,0.197,1.105,0.0401,0.21966,-0.10486
-0.983,0.19,1.135,0.19979,-0.25891,0.00376
-0.918,0.144,1.168,-0.27755,0.11621,0.16987
-0.849,0.083,1.16,-0.12297,-0.12725,0.30995
-0.785,0.016,1.195,0.03076,-0.12015,-0.30946
-0.8,-0.004,1.183,0.19755,-0.12015,0.2875
-0.813,0.007,1.164,0.32083,-0.12015,0.1585
-0.618,-0.125,1.065,-0.14063,0.30468,-0.26349
-0.537,-0.093,1.021,0.017,0.09712,0.20011
-0.465,0.051,0.92,0.11891,-0.03555,0.14302
-0.335,0.125,0.784,0.1157,-0.13525,0.15271
