X,Y,Z,ROLL,PITCH,YAW
-0.19,0.001,1.015,-0.04419,-0.14213,-0.04076
-0.193,0.005,1.067,-0.01427,-0.19618,-0.06229
-0.231,0.001,1.042,-0.00045,-0.20488,-0.0745
-0.214,0.021,1.052,0.0103,-0.21282,-0.08083
-0.208,0.028,1.026,0.0229,-0.20549,-0.07587
-0.157,0.024,0.967,0.02786,-0.15694,-0.06877
-0.136,0.035,0.956,0.00625,-0.08671,-0.04793
-0.171,0.035,0.962,-0.00633,-0.02679,-0.02847
-0.215,0.051,0.99,-0.01687,0.04519,0.03129
-0.206,0.016,1.049,-0.02061,0.0758,0.04885
-0.217,-0.01,1.071,-0.02404,0.03183,0.03076
-0.222,-0.018,1.073,-0.01687,-0.00816,0.0029
-0.186,-0.039,1.063,-0.00595,-0.00793,-0.03984
-0.213,0.007,1.052,-0.01061,-0.0103,-0.04801
-0.267,0.009,1.055,0.00435,-0.00427,-0.05389
-0.251,0.033,1.073,0.00351,-0.00893,-0.05061
-0.198,0.011,1.04,0.01259,-0.02198,-0.05251
-0.212,0.051,1.005,-0.01022,-0.03793,-0.05801
-0.191,0.029,1.009,-0.02587,-0.04824,-0.04343
-0.22,0.026,1.036,-0.00786,-0.05358,-0.0345
-0.183,0.014,1.008,-0.0045,-0.05664,-0.03709
-0.182,0.033,1.004,-0.00549,-0.03603,-0.02671
-0.185,0.036,0.989,0.00175,-0.00351,-0.00022
-0.157,0.037,0.975,-0.01152,0.05679,0.0161
-0.186,0.02,0.988,-0.02045,0.08954,0.02641
-0.223,0.017,1.028,-0.01435,0.08213,0.03061
-0.203,0.009,1.013,-0.01702,0.06442,0.02198
-0.212,0.0,1.014,-0.02732,0.06656,0.00595
-0.213,0.002,1.03,-0.03206,0.05946,-0.01404
-0.244,0.009,1.016,-0.03778,0.05015,-0.01641
-0.242,0.014,1.024,-0.04488,0.05122,-0.00022
-0.209,0.0,1.044,-0.03786,0.05458,0.01053
-0.2,0.011,1.041,-0.03183,0.05641,0.02015
-0.189,0.007,1.033,-0.02022,0.05038,0.02671
-0.215,0.004,1.041,0.0058,0.05076,0.0429
-0.226,0.0,1.032,0.02274,0.06251,0.04854
-0.183,-0.015,1.002,0.01053,0.08351,0.03564
-0.179,-0.009,1.009,0.00328,0.09572,0.01305
-0.171,-0.005,1.045,0.00068,0.08488,-0.00893
-0.214,-0.002,1.022,-0.01282,0.07122,-0.02419
-0.232,0.002,1.046,-0.02328,0.03274,-0.02366
-0.246,0.008,0.997,-0.03541,0.02473,-0.02229
-0.216,0.028,0.976,-0.05328,0.04198,-0.01282
-0.224,0.032,1.003,-0.05541,0.06022,0.00885
-0.251,0.025,1.004,-0.04374,0.10877,0.04328
-0.251,0.02,1.009,-0.02854,0.16961,0.08404
-0.242,0.01,1.018,-0.01694,0.19045,0.10816
-0.215,0.015,0.998,-0.0161,0.15687,0.13015
-0.227,0.021,1.007,0.01183,0.09603,0.12251
-0.18,-0.058,1.011,-0.009,0.11977,0.07328
-0.187,-0.031,1.039,0.00946,0.08687,0.01839
-0.207,-0.021,1.035,0.01832,0.05854,-0.01038
-0.205,-0.014,0.987,0.01465,0.05786,-0.03244
-0.234,0.009,1.012,0.00961,0.09229,-0.0274
-0.269,0.003,0.979,0.00587,0.11595,-0.01679
-0.263,0.033,0.953,-0.00587,0.16045,0.01541
-0.264,0.059,0.969,-0.0248,0.2261,0.08198
-0.252,0.007,0.971,-0.02282,0.27648,0.12106
-0.221,-0.008,1.016,-0.00091,0.28358,0.12519
-0.168,0.0,1.011,0.01038,0.27778,0.11099
-0.19,0.029,0.987,0.01473,0.2203,0.0977
-0.207,0.002,1.025,0.0148,0.14954,0.07312
-0.145,-0.003,0.966,-0.00824,0.15679,0.0077
-0.437,-0.038,1.33,-0.14916,0.07954,0.07091
-0.305,0.095,1.039,0.00732,-0.19114,0.04198
-0.276,-0.03,0.952,-0.05694,-0.07702,0.02099
-0.282,0.005,0.994,-0.04053,-0.03152,0.01702
-0.267,0.019,0.979,-0.03129,0.00564,0.05137
-0.282,-0.013,0.948,-0.0458,0.06717,0.02732
-0.29,-0.007,0.986,-0.0587,0.07465,0.00251
-0.289,-0.053,1.043,-0.09687,0.05068,-0.0319
-0.288,-0.041,1.061,-0.10992,-0.01816,-0.07045
-0.303,-0.022,1.059,-0.12038,-0.03938,-0.07709
-0.255,0.044,1.041,-0.12358,-0.0461,-0.04656
-0.159,0.117,0.889,-0.15282,0.08717,-0.01648
0.467,0.005,0.37,0.3259,-0.08315,0.03862
-0.272,0.211,1.137,-0.06091,0.24343,0.18603
-0.273,-0.063,1.021,-0.08564,-0.29338,0.23236
-0.383,-0.016,1.101,-0.07473,0.23312,0.1987
-0.277,-0.084,1.121,-0.05175,0.12221,0.16022
-0.188,-0.091,1.032,-0.06618,0.05557,0.04992
-0.214,-0.064,1.015,-0.12213,0.02946,-0.02106
-0.255,-0.08,1.012,-0.15351,0.06519,-0.07916
-0.384,-0.032,1.071,-0.16076,0.02198,-0.07717
-0.425,-0.045,1.107,-0.10908,0.0,-0.04519
-0.31,-0.031,0.979,-0.07893,0.04839,-0.03793
-0.268,0.043,0.939,-0.05603,0.03053,-0.01832
-0.359,0.125,0.873,-0.03458,0.04022,0.12251
-0.42,0.09,0.882,0.01198,0.14244,0.24938
-0.241,0.07,0.709,-0.02358,-0.31178,0.32122
-0.132,0.024,0.812,-0.05679,-0.2043,-0.30147
-0.25,0.0,0.98,-0.00381,-0.29025,-0.27559
-0.208,-0.106,0.992,-0.05465,-0.29338,0.28511
-0.296,-0.107,1.07,-0.0445,0.18534,0.18977
-0.289,-0.132,1.017,-0.02335,0.02236,0.09381
-0.246,-0.089,0.968,-0.05114,-0.02824,-0.00709
-0.317,-0.058,0.94,-0.08549,-0.07755,-0.02702
-0.339,-0.035,0.941,-0.09916,-0.09213,-0.03511
-0.322,-0.031,0.845,-0.18709,-0.17129,-0.05916
-0.312,-0.05,0.803,-0.24816,-0.20267,-0.10015
-0.362,-0.047,0.804,-0.29122,-0.22015,-0.12274
-0.422,-0.045,0.841,-0.30717,-0.24824,-0.09969
-0.455,-0.071,0.846,-0.31,-0.27206,-0.06702
-0.459,-0.12,0.885,-0.27931,-0.25786,-0.01106
-0.366,-0.16,0.924,-0.21992,-0.24213,0.02381
-0.252,-0.206,0.952,-0.1716,-0.22946,0.03839
-0.247,-0.232,0.987,-0.11366,-0.24458,0.05167
-0.242,-0.244,1.048,-0.02664,-0.27748,0.04984
-0.275,-0.259,1.132,0.0877,-0.3045,0.05977
-0.268,-0.273,1.175,0.21335,-0.30328,0.07694
-0.192,-0.304,1.193,-0.32552,0.2862,0.03931
-0.149,-0.208,1.101,-0.30544,0.22437,-0.04244
-0.164,-0.116,0.974,0.31694,0.16101,-0.13648
-0.515,0.072,0.885,0.16977,0.32034,-0.16709
0.058,-0.135,0.761,0.05961,-0.27204,-0.32725
-0.123,-0.069,0.753,0.06732,-0.32441,0.19865
0.121,-0.212,0.798,0.19748,-0.22173,0.03231
0.069,-0.134,0.891,-0.3101,-0.19204,-0.02479
0.1,-0.16,0.864,-0.15017,-0.19173,-0.08219
0.146,-0.249,0.766,-0.0246,-0.14654,-0.18135
0.22,-0.267,0.612,0.17662,0.16292,0.28866
0.281,-0.263,0.452,0.22922,-0.31969,0.16248
0.291,-0.26,0.312,0.14761,-0.2532,0.01195
0.248,-0.147,0.209,-0.05514,-0.0119,-0.06607
0.022,-0.152,0.343,-0.2662,0.1358,-0.0434
-0.056,-0.179,0.594,0.23984,0.20213,0.00111
-0.145,-0.256,0.746,0.1958,0.2458,0.05034
-0.333,-0.374,0.839,0.17618,0.25664,0.12775
-0.489,-0.364,0.958,0.26007,0.29725,0.25279
-0.7,-0.257,1.115,-0.29277,0.21305,-0.19731
-0.994,-0.193,1.088,-0.27369,0.00625,0.06834
-1.304,-0.11,1.194,-0.30598,-0.13389,-0.26572
-1.533,-0.032,1.327,-0.28773,0.24682,0.11244
-1.621,-0.062,1.283,0.3003,-0.09288,-0.20453
-1.611,-0.187,1.307,0.19732,0.31782,0.05708
-1.549,-0.255,1.389,0.1158,0.04637,0.23151
-1.481,-0.326,1.455,0.08374,-0.16042,-0.30866
-1.497,-0.314,1.517,0.06358,-0.21248,-0.09996
-1.536,-0.286,1.634,0.15404,-0.07088,0.20187
-1.584,-0.227,1.655,0.25847,0.21874,-0.05196
-1.557,-0.145,1.638,0.32526,-0.04181,-0.29534
-1.521,-0.038,1.679,-0.30147,-0.29816,-0.12015
-1.427,0.04,1.684,0.32404,-0.09572,-0.12015
-1.32,0.074,1.671,0.25206,0.02,-0.12015
-1.254,0.153,1.721,0.1348,0.129,-0.12015
-1.225,0.23,1.718,-0.02671,0.22763,-0.12015
-1.218,0.241,1.704,-0.21229,0.30709,-0.12015
-1.134,0.16,1.687,0.2562,-0.31964,-0.12015
-1.024,-0.005,1.698,0.11414,-0.3233,-0.12015
-0.818,-0.381,1.856,0.02704,0.30419,-0.12015
-0.627,-0.635,1.999,0.15063,-0.30636,-0.12015
-0.312,-0.87,1.999,-0.22923,-0.22788,-0.12015
0.024,-1.078,1.999,0.06748,-0.09544,-0.12015
0.322,-1.128,1.999,0.3087,0.0267,-0.12015
0.566,-1.12,1.999,-0.11781,0.16059,-0.12015
0.786,-1.121,1.999,0.20372,0.20318,-0.12015
0.875,-1.25,1.999,-0.02851,0.04502,-0.12015
1.09,-1.378,1.999,0.20179,-0.21865,-0.12015
1.36,-1.372,1.999,0.32034,-0.27659,-0.12015
1.568,-1.324,1.999,-0.24578,0.31045,-0.12015
1.833,-1.222,1.77,-0.0015,-0.0303,-0.12015
1.999,-1.19,1.52,0.11117,-0.21748,-0.12015
1.999,-1.208,1.308,0.12056,0.27201,-0.12015
1.999,-1.251,1.087,0.02292,0.16445,-0.29679
1.999,-1.26,0.943,-0.11593,0.20315,0.26324
1.999,-1.156,0.981,-0.22845,0.2488,0.23112
1.999,-1.063,1.019,-0.27379,0.2862,-0.31399
1.999,-0.955,0.98,-0.17929,-0.29419,-0.11473
1.817,-0.838,0.871,-0.0483,-0.23381,0.23712
1.628,-0.712,0.73,0.03697,-0.18045,0.02101
1.474,-0.614,0.549,0.05353,-0.1687,-0.18227
1.372,-0.515,0.374,-0.00532,-0.14465,0.25996
1.25,-0.429,0.258,-0.12044,-0.13984,0.06637
1.101,-0.376,0.202,-0.26952,-0.16923,-0.08828
0.984,-0.346,0.139,0.23462,-0.19557,-0.22149
0.846,-0.335,0.078,0.06531,-0.18824,0.31204
0.729,-0.347,0.084,-0.07126,-0.13931,0.19066
0.636,-0.378,0.083,-0.19347,-0.10053,0.03792
0.527,-0.39,0.045,-0.31874,-0.11702,-0.15575
0.429,-0.351,-0.012,0.15784,-0.20007,0.31213
0.259,-0.292,-0.081,-0.06109,-0.3129,0.12007
0.056,-0.249,-0.17,-0.28567,0.19224,0.12007
-0.168,-0.133,-0.255,0.0858,0.06475,0.12007
-0.312,-0.022,-0.356,-0.18946,-0.0857,0.12007
-0.439,0.036,-0.455,0.18147,-0.17685,0.12007
-0.496,0.1,-0.474,-0.09685,-0.18723,0.12007
-0.526,0.172,-0.492,-0.27784,-0.16975,0.12007
-0.507,0.207,-0.497,0.25401,-0.18357,0.12007
-0.527,0.198,-0.575,0.06118,-0.14677,0.12007
-0.566,0.18,-0.574,-0.145,0.05575,0.12007
-0.885,0.161,-0.45,-0.3237,-0.29862,0.12007
-1.184,0.15,-0.211,0.21578,-0.0587,0.13175
-1.53,0.168,0.001,0.17471,0.0516,0.31969
-1.827,0.239,0.212,0.16899,0.00862,-0.06239
-2.0,0.29,0.381,0.14074,-0.109,0.29204
-2.0,0.32,0.506,0.10883,-0.25473,0.01477
-2.0,0.309,0.562,0.07631,0.18262,-0.29807
-2.0,0.245,0.612,0.06891,-0.1183,-0.04296
-2.0,0.214,0.653,0.09486,0.25828,0.11231
-1.977,0.155,0.739,0.13189,0.0705,0.24277
-1.918,0.215,0.91,0.19234,0.02973,-0.16687
-1.94,0.264,1.05,0.1896,0.31134,0.1374
-2.0,0.306,1.355,0.18952,0.07758,-0.07903
-2.0,0.304,1.61,0.28311,-0.22824,-0.24378
-2.0,0.265,1.8,-0.22882,-0.13236,0.22622
-2.0,0.225,1.949,-0.06607,0.30575,-0.03608
-2.0,0.156,1.999,0.08401,-0.05776,0.26323
-2.0,0.09,1.999,0.20431,0.24989,-0.12755
-1.725,-0.044,1.999,0.30202,0.08943,-0.12015
-1.342,-0.169,1.999,-0.21517,0.16141,-0.12015
-1.08,-0.221,1.999,-0.05158,-0.25318,-0.12015
-0.847,-0.239,1.999,0.17224,0.05391,-0.12015
-0.773,-0.225,1.999,-0.25251,-0.23511,-0.12015
-0.644,-0.247,1.999,0.01473,0.17465,-0.12015
-0.544,-0.276,1.999,0.21992,-0.08185,-0.12015
-0.466,-0.283,1.999,-0.27346,-0.2592,-0.12015
-0.342,-0.328,1.999,-0.15414,0.19225,-0.12015
-0.193,-0.433,1.999,-0.05384,-0.19212,-0.12015
-0.048,-0.592,1.999,0.02891,-0.08525,-0.12015
0.101,-0.733,1.999,0.17082,-0.04983,-0.12015
0.206,-0.827,1.999,0.2896,-0.09112,-0.12015
0.263,-0.852,1.999,-0.24179,-0.24112,-0.12015
0.305,-0.888,1.999,-0.16843,0.195,-0.12015
0.412,-0.925,1.999,-0.11508,-0.06004,-0.12015
0.497,-0.991,1.999,-0.06004,-0.31042,-0.12015
0.569,-1.064,1.999,0.07416,0.12135,-0.12015
0.591,-1.11,1.999,0.23256,-0.09598,-0.12015
0.627,-1.116,1.999,-0.23998,-0.31666,-0.12015
0.585,-1.096,1.862,-0.08517,0.17618,-0.12564
0.534,-1.057,1.775,0.03163,-0.00427,-0.21068
0.562,-1.029,1.658,0.10567,-0.28259,-0.25938
0.725,-1.029,1.545,0.20605,-0.00815,0.28185
0.896,-1.038,1.357,0.26987,0.25126,0.0604
1.093,-0.991,1.179,0.32392,-0.18996,-0.25349
1.241,-0.938,1.007,-0.26839,0.12715,0.05439
1.344,-0.905,0.792,-0.2832,-0.14017,-0.30004
1.456,-0.884,0.552,0.25834,-0.26132,-0.02346
1.642,-0.829,0.386,0.08216,-0.24796,0.17511
1.681,-0.728,0.289,-0.07112,-0.14376,-0.32465
1.63,-0.603,0.221,-0.2296,0.05876,-0.04868
1.433,-0.433,0.104,0.31034,0.31876,0.1695
1.225,-0.274,-0.089,0.14523,-0.11615,-0.17347
0.988,-0.197,-0.192,-0.03256,0.01943,0.31212
0.85,-0.137,-0.259,-0.21698,0.13828,0.19433
0.697,-0.073,-0.296,0.23601,0.29286,0.10181
0.534,-0.034,-0.377,0.07028,-0.24067,0.02257
0.431,0.007,-0.402,-0.08674,-0.17822,-0.04987
0.309,0.072,-0.451,-0.25323,-0.18815,-0.09911
0.176,0.141,-0.501,0.21145,-0.25746,-0.11888
0.087,0.196,-0.554,0.01839,0.27027,-0.12674
0.02,0.248,-0.601,-0.22007,0.10515,-0.11643
-0.006,0.239,-0.683,0.18697,0.01332,-0.09567
0.084,0.221,-0.753,-0.11341,0.00927,-0.1117
0.012,0.26,-0.778,0.27317,0.08317,-0.10987
0.034,0.282,-0.913,-0.06424,0.19072,-0.1385
0.007,0.324,-1.038,0.20189,-0.30464,-0.1772
-0.072,0.336,-1.057,0.28366,-0.0096,-0.17369
-0.33,0.323,-0.996,0.12007,0.31155,-0.11819
-0.621,0.317,-0.848,0.12007,-0.06175,-0.00231
-0.832,0.29,-0.702,0.12007,0.13343,0.14631
-1.095,0.195,-0.473,0.12007,0.15938,0.30311
-1.306,0.074,-0.197,0.12007,0.04458,-0.20454
-1.507,0.056,0.115,0.12007,-0.15435,-0.04844
-1.641,0.13,0.455,0.12007,0.28002,0.1224
-1.566,0.198,0.71,0.12007,-0.0141,0.27973
-1.343,0.2,0.784,0.12007,0.32653,-0.27181
-1.065,0.264,0.765,0.12007,0.03294,-0.17746
-1.025,0.226,0.796,0.12007,-0.31874,0.0101
-0.917,0.16,0.888,0.12007,-0.02621,-0.29717
-0.687,0.051,1.166,0.12007,-0.043,-0.03557
-0.522,-0.084,1.371,0.12007,0.16967,0.20267
-0.52,-0.234,1.681,0.12007,-0.17928,-0.13536
-0.527,-0.427,1.999,0.12007,0.21614,0.22845
-0.449,-0.589,1.999,0.24977,0.07506,-0.11424
-0.409,-0.656,1.999,0.01105,0.0074,0.09324
-0.446,-0.601,1.999,-0.26973,-0.1717,0.24508
-0.367,-0.55,1.999,0.17439,0.08227,-0.3257
-0.19,-0.55,1.999,-0.03738,0.15296,0.31691
0.195,-0.548,1.999,-0.08564,-0.04575,0.13844
0.463,-0.521,1.999,0.10038,-0.1743,-0.00805
0.884,-0.62,1.999,-0.29544,-0.3117,-0.20622
1.143,-0.791,1.999,-0.03391,0.25465,0.2612
1.398,-0.856,1.999,0.29372,0.21099,-0.03682
1.518,-0.864,1.999,0.00271,0.19083,0.31625
1.537,-0.912,1.999,-0.24418,0.15687,0.03366
1.504,-0.887,1.999,0.15903,0.21091,-0.21679
1.36,-0.775,1.999,-0.21412,0.31358,0.25682
1.199,-0.644,1.999,-0.12015,-0.24025,0.18407
1.122,-0.579,1.999,-0.12015,-0.18766,0.12552
1.083,-0.571,1.999,-0.12015,-0.15269,0.0472
1.012,-0.538,1.885,-0.12015,-0.16491,-0.07899
0.979,-0.474,1.834,-0.12015,-0.31269,-0.25578
1.018,-0.439,1.92,-0.12015,0.09549,0.11821
0.846,-0.544,1.848,-0.12015,-0.28549,-0.1805
0.623,-0.656,1.583,-0.12015,-0.01647,-0.2847
0.614,-0.704,1.383,-0.12015,-0.26731,0.20784
0.631,-0.743,1.316,-0.12015,0.27218,-0.04262
0.553,-0.745,1.326,-0.12015,0.26156,-0.23559
0.406,-0.76,1.322,-0.12015,0.24958,0.3032
0.298,-0.777,1.221,-0.12015,0.20011,0.20992
0.227,-0.743,1.018,-0.12015,0.17042,0.12007
0.099,-0.673,0.896,-0.12015,0.23531,0.12007
-0.003,-0.67,0.717,-0.12015,-0.31433,0.12007
-0.174,-0.659,0.529,-0.12015,-0.25013,0.12007
-0.33,-0.611,0.447,-0.12015,-0.22639,0.17305
-0.426,-0.54,0.419,-0.12015,-0.26784,0.23106
-0.489,-0.461,0.435,-0.12015,0.28599,0.28305
-0.429,-0.507,0.398,-0.12015,0.12134,0.25854
-0.324,-0.604,0.45,-0.13656,-0.07515,0.14748
-0.214,-0.634,0.463,-0.12015,0.32074,0.12007
-0.133,-0.675,0.454,-0.12015,0.10234,0.12007
-0.046,-0.723,0.479,-0.12015,-0.08544,0.12007
-0.074,-0.809,0.478,-0.12015,-0.20308,0.12007
-0.059,-0.905,0.457,-0.12015,-0.28987,0.12007
-0.073,-0.975,0.394,-0.12015,0.31473,0.12007
-0.239,-1.005,0.297,-0.17832,0.31503,0.12007
-0.445,-0.982,0.134,0.28964,-0.23613,0.12007
-0.707,-0.841,-0.027,0.03888,-0.00124,0.12007
-0.914,-0.634,-0.134,-0.24578,0.29005,0.12007
-1.033,-0.486,-0.195,0.12874,-0.13782,0.12007
-1.019,-0.43,-0.191,-0.2379,0.01286,0.12007
-0.769,-0.482,-0.13,0.19532,0.06424,0.12007
-0.632,-0.518,-0.158,0.05097,0.01065,0.12007
-0.604,-0.468,-0.221,-0.15628,-0.04256,0.12007
-0.615,-0.359,-0.325,0.16511,-0.03607,0.12007
-0.661,-0.359,-0.296,-0.14282,-0.01111,0.12007
-0.771,-0.374,-0.282,0.30269,-0.02019,0.12007
-0.915,-0.37,-0.283,0.07628,-0.07416,0.12007
-1.165,-0.386,-0.221,-0.02784,-0.14905,0.12007
-1.551,-0.064,-0.589,-0.29395,-0.24416,0.12007
-1.755,0.122,-0.621,-0.18973,-0.24271,0.12007
-1.888,0.03,-0.51,0.19349,-0.32752,0.16137
-1.806,-0.055,-0.327,0.04418,0.0996,-0.24346
-1.815,0.019,-0.292,-0.11895,-0.02827,0.09883
-1.503,-0.232,-0.19,-0.21964,0.06227,0.1996
-1.522,-0.406,-0.002,-0.20735,0.27639,0.307
-1.542,-0.466,0.147,-0.25842,-0.26195,-0.19401
-1.627,-0.47,0.447,-0.23185,-0.12164,0.09866
-1.667,-0.469,0.698,-0.12972,0.10431,-0.26715
-1.775,-0.523,0.811,-0.03827,0.2876,0.04521
-1.836,-0.642,0.952,0.05082,-0.24471,-0.32717
-1.815,-0.677,1.167,0.17357,-0.14273,-0.08725
-1.834,-0.702,1.291,-0.32645,-0.11639,0.13351
-1.755,-0.686,1.352,-0.17569,-0.12815,0.32732
-1.615,-0.663,1.368,-0.03576,-0.10288,-0.19514
-1.485,-0.607,1.362,0.08324,-0.02708,-0.11636
-1.382,-0.502,1.349,0.15111,0.06819,-0.05766
-1.315,-0.404,1.41,0.17309,0.14918,0.01784
-1.258,-0.345,1.517,0.17592,0.24483,0.11662
-1.187,-0.297,1.589,0.17317,-0.25687,0.24418
-1.105,-0.326,1.756,0.16767,-0.00137,-0.31149
-1.165,-0.184,1.957,0.1376,0.31877,-0.08454
-0.235,-2.0,1.999,-0.29483,-0.12015,-0.03843
-0.914,-1.088,1.999,-0.12015,-0.12015,-0.28179
-2.0,1.246,1.225,0.10866,0.03431,0.19492
-0.678,1.059,1.477,0.24625,0.16677,0.20798
-1.158,0.762,1.372,0.23201,-0.22225,-0.07263
-1.958,0.593,1.216,0.22195,0.03944,0.31308
-0.825,0.481,1.688,0.21576,0.047,0.1188
-0.428,0.452,1.999,0.28178,-0.32645,0.18263
-1.045,0.506,1.999,-0.05152,-0.02949,-0.22723
-0.647,0.292,1.999,-0.04687,0.10593,-0.25662
-0.547,0.012,1.999,0.07259,0.28456,-0.32631
0.807,-0.38,1.999,0.07731,0.06633,0.06859
-0.154,-0.341,1.999,0.27586,0.31763,-0.255
-0.416,-0.107,1.999,0.22981,0.1492,0.25357
-0.464,-0.178,1.999,-0.04586,0.14813,-0.06034
-0.143,0.047,1.999,-0.1729,0.03966,0.27126
-0.053,0.186,1.628,-0.12015,0.19157,-0.32265
0.026,0.354,1.244,-0.12015,0.20286,-0.31899
0.145,0.456,1.159,-0.1587,0.05225,0.26324
0.112,0.559,1.071,-0.25412,-0.23034,0.17744
0.181,0.54,0.985,-0.32389,0.12738,0.08699
0.317,0.494,0.865,0.24621,-0.13758,-0.02706
0.366,0.483,0.767,0.13407,-0.29834,-0.16195
0.379,0.502,0.664,0.05559,0.32076,-0.26088
0.352,0.578,0.53,-0.00296,-0.2733,-0.29317
0.294,0.616,0.437,-0.06784,-0.21124,-0.29317
0.266,0.568,0.398,-0.12296,-0.17781,-0.29317
0.31,0.501,0.355,-0.12944,-0.17972,-0.32752
0.287,0.457,0.305,-0.1854,-0.2243,0.25929
0.32,0.425,0.236,-0.22799,-0.28865,0.17349
0.321,0.414,0.197,-0.25708,0.28206,0.05944
0.282,0.385,0.138,-0.28357,0.09977,-0.00437
0.23,0.331,0.07,-0.32341,-0.15908,-0.03369
0.212,0.288,0.007,0.25477,0.01888,-0.17399
0.282,0.269,-0.145,0.15218,-0.207,0.32679
0.335,0.265,-0.239,-0.00653,0.24218,0.17519
0.347,0.268,-0.334,-0.2095,0.13767,-0.00427
0.339,0.313,-0.459,0.19074,0.055,-0.11641
0.389,0.145,-0.287,0.10532,0.02011,-0.20442
0.41,0.184,-0.512,0.00311,-0.05233,0.25445
0.347,0.101,-0.509,-0.18559,0.07843,0.12285
0.313,-0.029,-0.411,-0.23483,0.22775,0.02224
0.387,-0.066,-0.379,0.31725,-0.21555,-0.19799
0.379,-0.151,-0.325,0.20129,-0.02502,0.21225
0.396,-0.206,-0.254,0.06488,0.17972,-0.06431
0.33,-0.216,-0.219,-0.04656,0.26514,-0.30019
0.23,-0.208,-0.219,-0.16908,-0.32236,0.13364
-0.012,-0.181,-0.269,-0.32183,-0.32748,0.00296
-0.461,-0.142,-0.26,-0.01586,0.24811,-0.00369
-0.641,-0.197,-0.191,-0.23296,0.15399,0.01318
-0.778,-0.174,-0.094,0.30637,0.06369,0.04532
-0.831,-0.143,0.001,0.31553,0.10071,0.11112
-0.812,-0.1,0.068,-0.27173,0.22498,0.16754
-0.809,-0.119,0.024,-0.247,-0.32259,0.21089
-0.867,-0.133,-0.029,-0.28975,-0.27007,0.25425
-0.911,-0.158,-0.032,0.21821,-0.31938,0.27486
-1.091,-0.141,-0.01,0.0692,0.23346,0.28937
-1.315,-0.171,-0.004,-0.2221,0.01995,-0.24019
-1.515,-0.202,-0.05,0.19876,-0.12089,-0.11118
-1.659,-0.264,0.03,-0.08949,-0.23059,0.02408
-1.785,-0.332,0.274,0.32686,-0.2912,0.15065
-1.956,-0.33,0.544,0.27274,0.28401,-0.31181
-2.0,-0.361,0.758,0.30267,0.08447,-0.08402
-2.0,-0.393,0.839,-0.22323,-0.03462,0.14865
-1.894,-0.349,0.813,-0.07079,0.01439,-0.31053
-1.821,-0.301,0.823,0.04502,0.12905,-0.12984
-1.869,-0.242,0.851,0.14166,0.21469,-0.00259
-1.933,-0.12,0.862,0.1625,0.29111,0.1332
-2.0,-0.048,0.928,0.15555,0.27271,-0.30857
-2.0,-0.058,0.99,0.12525,0.25698,-0.06659
