X,Y,Z,ROLL,PITCH,YAW
-0.441,0.05,0.893,-0.0474,0.23854,0.03343
-0.549,0.061,0.927,-0.08503,0.12702,0.05427
-0.444,0.033,0.897,-0.13541,0.17442,0.03061
-0.421,0.012,0.896,-0.12923,0.22442,0.03038
-0.397,0.006,0.909,-0.12908,0.24396,0.03557
-0.477,0.038,0.943,-0.0645,-0.3114,0.04732
-0.427,0.03,0.943,-0.08633,0.3258,0.04351
-0.442,0.045,0.934,-0.09763,0.29687,0.05389
-0.405,0.047,0.871,-0.07061,0.31022,0.05114
-0.448,0.023,0.831,-0.05801,-0.28956,0.04351
-0.247,-0.051,0.731,-0.01503,0.26204,-0.02328
-0.513,0.03,0.868,0.18809,0.30761,0.07732
-0.584,0.127,0.904,-0.019,-0.0775,0.14763
-0.587,0.005,0.943,-0.09977,-0.11979,0.04633
-0.524,0.013,1.023,-0.01259,-0.13002,0.06816
-0.416,-0.018,0.909,0.0429,-0.02575,0.0574
-0.497,0.019,0.864,0.03648,0.05693,0.07274
-0.582,0.058,0.849,0.03656,0.06341,0.0961
-0.656,-0.033,0.944,-0.09053,0.27549,-0.02419
-0.663,0.043,0.886,-0.13091,0.04847,-0.06427
-0.516,0.058,0.781,-0.10374,0.05442,-0.02488
-0.53,0.125,0.725,-0.11221,0.21183,0.0619
-0.455,0.073,0.825,-0.08885,-0.19254,0.17847
-0.594,-0.053,1.031,0.01832,-0.04025,-0.28407
-0.375,0.043,1.003,0.1461,0.21464,-0.16346
-0.428,0.05,0.839,0.1361,-0.28805,-0.25445
-0.579,-0.108,0.724,0.01274,0.30151,-0.31475
-0.622,0.079,0.662,-0.05503,0.11891,0.25038
-0.707,0.054,0.893,-0.2277,-0.2288,0.08977
-0.651,-0.026,0.991,-0.11847,-0.03557,0.0187
-0.572,0.1,0.722,-0.07595,0.01251,-0.01641
-0.63,0.108,0.791,-0.08732,0.07465,0.02465
-0.658,0.142,0.806,-0.09984,0.12404,0.08664
-0.672,0.075,0.879,-0.08038,0.14847,0.12259
-0.62,0.062,0.88,-0.02442,0.10015,0.11335
-0.557,0.038,0.871,0.02442,0.04809,0.06725
-0.58,0.036,0.868,0.07557,-0.00503,0.03748
-0.62,0.064,0.817,0.08603,-0.03717,0.01343
-0.602,0.047,0.768,0.10374,-0.02358,-0.01274
-0.607,0.033,0.756,0.08694,-0.02374,-0.03732
-0.755,0.023,0.905,0.0574,-0.25114,-0.05564
-0.707,-0.025,0.884,0.06251,0.20628,-0.0961
-0.653,-0.015,0.798,0.02106,0.05391,-0.11977
-0.634,0.019,0.788,-0.01748,0.00995,-0.10022
-0.586,-0.01,0.81,-0.0319,-0.04807,-0.03083
-0.592,-0.01,0.919,-0.01061,-0.10105,0.01404
-0.455,-0.103,0.994,0.0274,-0.20601,0.02259
-0.343,-0.155,1.054,0.08725,-0.32425,-0.04419
-0.34,-0.083,0.963,0.12732,0.12523,-0.18061
-0.193,-0.223,0.812,0.11305,0.09828,-0.32404
-0.368,-0.173,0.984,0.20946,0.01279,0.1417
-0.454,-0.017,0.916,0.20244,-0.29592,-0.00357
-0.258,-0.163,0.704,0.15374,-0.13193,-0.08502
-0.245,-0.168,0.226,-0.05603,0.28198,-0.20601
-0.607,0.266,0.135,-0.28618,-0.29315,-0.2967
-0.853,0.332,0.218,0.09086,0.31648,-0.11555
-0.956,0.264,0.379,-0.07563,0.22236,0.09781
-1.061,0.274,0.489,-0.17074,0.20671,0.32353
-1.18,0.299,0.635,-0.23402,0.31122,-0.04977
-1.298,0.264,0.794,-0.2338,-0.27537,0.25236
-1.436,0.217,0.868,-0.21998,-0.29842,-0.15048
-1.466,0.184,0.873,-0.22578,-0.25323,0.03334
-1.503,0.127,0.975,-0.2425,-0.14033,0.16318
-1.542,0.062,1.234,-0.21922,-0.02651,0.26998
-1.579,0.081,1.523,-0.18288,0.01654,-0.27072
-1.583,0.111,1.712,-0.17502,0.0015,-0.03179
-1.6,0.055,1.893,-0.15196,0.04784,0.25553
-1.44,-0.104,1.999,-0.00868,0.20181,-0.0854
-1.168,-0.282,1.999,0.26888,-0.18531,0.20689
-0.955,-0.439,1.999,-0.02679,0.17263,-0.16732
