X,Y,Z,ROLL,PITCH,YAW
-0.619,0.071,0.786,0.00221,0.15061,0.03526
-0.76,0.107,0.792,-0.0619,-0.11106,0.04175
-0.628,0.066,0.78,-0.11992,-0.06282,0.00885
-0.648,0.045,0.822,-0.13587,-0.05122,-0.00992
-0.595,0.077,0.798,-0.08648,-0.08854,-0.00114
-0.603,0.084,0.715,-0.11541,-0.01534,0.02755
-0.599,0.062,0.764,-0.1129,0.03717,0.03946
-0.588,0.064,0.776,-0.11343,0.05587,0.05305
-0.595,0.066,0.761,-0.13137,0.11145,0.07809
-0.604,0.066,0.772,-0.12748,0.19076,0.10763
-0.607,0.045,0.805,-0.11343,0.31297,0.13862
-0.62,0.077,0.736,-0.13923,0.25709,0.17938
-0.651,0.056,0.754,-0.13351,-0.3072,0.18389
-0.705,0.044,0.808,-0.10305,-0.23353,0.18549
-0.69,0.0,0.834,-0.09694,-0.26926,0.16732
-0.616,-0.005,0.858,-0.11793,-0.31391,0.09236
-0.604,-0.005,0.872,-0.11099,-0.26185,0.02541
-0.58,-0.215,1.342,0.16358,0.09737,-0.07274
-0.39,0.077,0.979,0.18503,-0.3179,-0.03877
-0.795,0.193,-0.299,0.10506,-0.22709,-0.09274
-0.748,0.02,0.86,0.12208,0.13679,-0.18312
-0.692,0.074,1.022,-0.13045,0.04717,-0.05236
-0.632,0.117,0.697,-0.1161,0.17534,-0.03557
-0.726,0.124,0.709,-0.09633,-0.20979,0.03473
-0.76,0.057,0.819,0.11534,-0.02361,0.12083
-0.684,-0.024,0.831,0.15847,-0.03025,0.09832
-0.699,0.005,0.811,0.06671,-0.22544,0.07541
-0.701,0.002,0.795,-0.01488,0.26083,0.08541
-0.582,-0.001,0.708,-0.0732,0.1948,0.09877
-0.515,-0.009,0.666,-0.08221,0.28534,0.13541
-0.45,-0.023,0.7,-0.05267,-0.0117,0.17557
-0.587,0.263,0.74,-0.07122,0.02578,0.09786
-0.958,0.518,0.104,-0.12938,0.28842,0.30213
-0.747,-0.071,0.253,0.12552,0.10427,0.09664
-0.655,0.105,1.1,0.16442,0.22229,0.03778
-0.639,-0.019,0.655,0.15832,0.26778,-0.0003
-0.693,-0.004,0.715,0.14465,-0.30674,-0.09374
-0.712,0.019,0.706,0.19366,0.30099,-0.11671
-0.767,0.049,0.616,0.14213,0.25007,-0.11022
-0.761,0.036,0.687,0.07458,0.17541,-0.09206
-0.777,0.064,0.674,0.02618,0.00374,-0.07305
-0.764,0.085,0.643,-0.02412,-0.04725,-0.06961
-0.709,0.085,0.669,-0.03297,-0.05717,-0.05465
-0.722,0.112,0.691,-0.01816,-0.04519,-0.02297
-0.715,0.126,0.683,0.00717,-0.01129,0.00664
-0.74,0.121,0.714,0.04412,0.00015,0.02977
-0.799,0.109,0.753,0.0903,0.02038,0.04419
-0.85,0.078,0.803,0.15145,-0.00633,0.06694
-0.887,0.092,0.833,0.21229,-0.07061,0.08809
-0.903,0.069,0.814,0.27664,-0.18106,0.08885
-0.947,0.062,0.893,-0.32712,-0.269,0.09587
-0.972,0.045,0.952,-0.27285,0.26995,0.10488
-0.873,0.02,1.04,-0.21781,0.1514,0.12175
-0.817,-0.015,1.127,-0.16704,0.00559,0.12595
-0.784,-0.011,1.171,-0.14689,-0.26189,0.11244
-0.787,0.017,1.154,-0.18002,0.035,0.06801
-0.77,0.011,1.083,-0.23353,0.12357,-0.02679
-0.561,-0.025,0.828,-0.26277,0.12007,-0.24091
-0.509,-0.065,0.75,-0.24277,0.12007,0.10178
-0.419,0.008,0.52,0.31618,0.12007,-0.19372
-0.374,0.172,0.234,0.06778,0.12007,0.22584
-0.357,0.277,0.159,-0.2416,0.12007,0.07095
-0.287,0.302,0.131,0.16315,0.12007,-0.02729
-0.253,0.261,0.128,-0.0612,0.12007,-0.06126
-0.314,0.158,0.155,-0.23967,0.12007,-0.01973
-0.412,0.122,0.17,0.30088,0.12007,0.03782
-0.499,0.023,0.264,0.24843,0.12007,0.06912
-0.598,-0.026,0.274,0.21775,0.12007,0.15225
-0.791,-0.004,0.216,0.18279,0.12007,0.31805
